universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
200600,,28.4719,,9,9,0.25,0.0000,200,,29.4253,10000,4,2,8,,8
8080200,,58.9089,,6,8,0.5,0.0000,200,,60.0021,10000,4,3,4,,8
30500,0.0002,0.0022,0.7,12,6,0.5,0.0000,100,0.0000,5.6879,10000,8,2,8,0.0016,2
121000,0.0002,0.0128,1,9,8,0.5,0.0002,200,0.0000,6.3185,10000,4,2,8,0.0010,8
3000100,0.0005,0.0133,0.28,1,3,0.75,0.0002,100,0.0001,4.0262,10000,4,3,4,0.0246,4
192321200,0.0000,0.0015,1,15,3,0.25,0.0000,400,0.0000,28.1229,100000,8,3,8,0.0004,4
3200,0.0005,0.0059,0.943,6,3,0.25,0.0000,400,0.0001,0.3701,2400.0,2,1,8,0.0223,8
128481200,0.0001,0.0045,0.7,15,2,0.75,0.0000,400,0.0000,0.2326,1000,2,3,8,0.0005,4
50300,0.0001,0.0015,0.9,19,7,0.5,0.0000,100,0.0000,0.2259,1000,2,2,8,0.0005,2
482000,,0.1602,,1,0,0.5,0.0000,400,,23.9074,100000,8,2,8,,2
