domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
400,8,2,10000,0.0000,0.0012,2,0.0002,3,0.5,0.0000,1.5838,28,1,6,384320000
100,8,2,600.0,,0.0021,4,,1,0.75,0.0000,0.0825,9,,0,800
100,8,4,600.0,,0.0033,8,,1,0.75,0.0000,0.0640,3,,4,800
100,8,2,37725.0,0.0001,0.0010,2,0.0002,2,0.75,0.0000,4.8379,19,0.3,7,50300
400,2,4,1000,,0.0050,2,,2,0.5,0.0000,0.1172,0,,8,320000
100,8,4,1000,0.0000,0.0022,2,0.0002,3,0.75,0.0000,0.1480,3,1,7,2050100
100,8,4,100000,0.0000,0.0014,2,0.0001,3,0.75,0.0000,16.2764,27,1,3,4010300
200,8,8,10000,0.0000,0.0011,2,0.0002,3,0.75,0.0000,1.5038,23,1,3,48080000
200,8,8,100000,0.0002,0.0020,4,0.0006,3,0.5,0.0000,17.6323,17,0.956,1,24080600
400,4,4,1000,0.0000,0.0105,4,0.0003,3,0.75,0.0000,0.1892,1,1,7,192000400
400,8,8,2400.0,,0.0068,2,,1,0.75,0.0000,0.3455,1,,3,3200
200,8,4,10000,,0.0456,8,,3,0.75,0.0000,1.6070,1,,5,24200000
100,8,4,10000,0.0001,0.0013,2,0.0003,3,0.25,0.0000,1.3695,21,0.8,2,4010300
200,8,4,100000,0.0001,0.0014,8,0.0002,2,0.5,0.0000,24.4970,9,0.7,2,160800
400,8,4,1000,,0.0061,4,,1,0.5,0.0000,0.1461,9,829.,2,3200
400,8,8,2400.0,,0.0048,2,,1,0.75,0.0000,0.3648,5,,1,3200
200,2,2,1000,0.0000,0.0012,4,0.0003,3,0.25,0.0000,0.1924,1,1,9,8000200
100,8,2,10000,0.0000,0.0013,4,0.0002,3,0.5,0.0000,2.8117,15,1,2,2030300
200,8,8,10000,0.0001,0.0022,2,0.0005,2,0.25,0.0000,2.5615,12,0.6,7,240400
100,8,8,10000,,0.0050,4,,3,0.5,0.0000,1.3381,17,,4,3030200
200,8,2,10000,0.0000,0.0028,4,0.0002,2,0.75,0.0000,2.0002,17,1,9,160800
100,4,8,1000,0.0001,0.0012,4,0.0003,3,0.5,0.0000,0.2172,1,0.9,4,2010100
