maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
2,8,5,200,1200.0,1600,0.0000,0.0163,0.0389,0.75,2,0.0008,0.0001,0.37,8,1,0.3583
8,2,26,100,1000,70100,0.0000,0.0011,0.0004,0.5,5,0.0000,0.0000,1,8,2,0.1584
8,4,1,100,100000,3030200,0.0001,32.2879,,0.25,4,,,,8,3,60.0002
4,2,23,200,100000,16120600,0.0000,0.0010,0.0003,0.25,3,0.0000,0.0000,1,8,3,19.1135
2,8,12,200,10000,280200,0.0000,0.0098,,0.5,8,,,,8,2,1.3691
2,2,22,100,100000,3030200,0.0000,0.0015,0.0004,0.75,4,0.0000,0.0000,1,8,3,24.6217
8,8,1,100,150.0,200,0.0000,0.0019,,0.5,9,,,,2,1,0.0178
2,2,22,400,1000,256161200,0.0000,0.0021,,0.25,2,,,,8,3,0.1053
4,4,6,200,30450.0,40600,0.0000,0.7444,,0.75,8,,,,4,2,9.3415
8,4,12,400,100000,128321600,0.0000,0.0015,0.0031,0.75,2,0.0001,0.0001,0.8,8,3,36.3743
2,8,23,100,100000,3000500,0.0000,0.0070,0.0004,0.75,0,0.0001,0.0000,0.9,8,3,35.8630
2,4,21,200,10000,16160400,0.0000,0.0010,0.0004,0.75,8,0.0001,0.0000,0.1,8,3,1.9804
2,4,0,400,100000,480400,0.0000,0.0015,0.0004,0.25,2,0.0000,0.0000,1,4,2,24.7483
4,2,8,400,100000,192161600,0.0000,0.0011,0.0003,0.25,2,0.0000,0.0000,1,8,3,21.6183
2,4,21,200,10000,16041000,0.0000,0.0032,0.0004,0.5,5,0.0001,0.0000,0.6,8,3,1.2439
2,4,16,200,10000,200600,0.0000,0.0008,0.0003,0.75,6,0.0000,0.0000,0.5,8,2,1.6519
8,4,4,200,90150.0,120200,0.0000,0.0011,0.0004,0.5,6,0.0000,0.0000,1,4,2,16.5200
8,8,4,200,1000,320000,0.0000,0.0012,0.0004,0.25,8,0.0000,0.0000,1,8,2,0.1488
4,8,1,200,1000,16040200,0.0000,0.0011,0.0003,0.5,4,0.0000,0.0000,1,4,3,0.5077
2,2,19,200,1000,200600,0.0000,0.0014,0.0003,0.25,2,0.0000,0.0000,1,8,2,0.0774
2,4,21,200,100000,24080600,0.0000,0.0014,0.0004,0.75,6,0.0001,0.0000,0.5,8,3,32.4175
4,2,23,200,1000,24080600,0.0000,0.0014,0.0005,0.75,1,0.0001,0.0000,0.2,8,3,0.2171
