maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
4,8,15,400,10000,320160800,0.0000,0.0052,,0.5,4,,,,8,3,2.5181
2,2,27,200,10000,200600,0.0000,0.0013,0.0005,0.25,1,0.0001,0.0000,0.8,8,2,2.0293
2,2,19,200,10000,160800,0.0000,0.0057,0.0006,0.75,5,0.0001,0.0000,0.2,8,2,1.4792
2,4,0,200,10000,120200,0.0000,0.0170,,0.75,7,,,,4,2,2.3756
4,2,23,100,1000,5030000,0.0000,0.0020,0.0011,0.75,2,0.0016,0.0000,0.9,8,3,0.2917
2,2,19,100,45150.0,60200,0.0000,0.0043,0.0004,0.25,1,0.0000,0.0000,1,8,2,7.3886
4,4,1,100,10000,1020100,0.0000,0.0014,0.0005,0.75,8,0.0001,0.0000,0.2,4,3,2.3672
8,4,9,400,10000,482000,0.0000,0.0010,0.0004,0.5,8,0.0001,0.0000,0.3,8,2,1.3863
8,4,4,400,10000,320800,0.0000,0.6653,0.0003,0.5,5,0.0002,0.0000,1,4,2,2.0243
8,8,20,100,1000,50300,0.0000,0.0028,,0.25,3,,,,8,2,0.1164
4,2,12,200,1200.0,1600,0.0000,0.0033,,0.25,1,,,,8,1,0.1112
2,4,5,200,1000,1600,0.0000,0.0060,0.0003,0.75,5,0.0000,0.0000,1,8,1,0.1019
8,2,6,400,1000,3200,0.0000,0.0023,,0.5,6,,,,8,1,0.1054
2,4,5,200,600.0,800,0.0000,0.0030,0.0006,0.5,3,0.0004,0.0001,0.1,4,1,0.0657
4,8,11,400,2400.0,3200,0.0000,0.0035,,0.5,7,,,,8,1,0.2442
2,4,21,200,1000,24120400,0.0000,0.0017,0.0006,0.75,4,0.0001,0.0000,0.3,8,3,0.1688
8,8,20,100,1000,40400,0.0000,0.0045,,0.5,2,,,,8,2,0.1385
2,4,5,400,1200.0,1600,0.0000,0.0038,,0.25,9,,,,4,1,0.1113
8,4,8,200,100000,200600,0.0000,1.1168,,0.75,7,,,,8,2,21.2566
8,8,20,400,100000,960800,0.0000,0.0013,0.0005,0.5,6,0.0000,0.0000,1,8,2,21.8446
8,4,1,400,10000,192002000,0.0000,0.0018,0.0006,0.75,9,0.0001,0.0001,0.2,8,3,2.8880
8,4,6,400,10000,192000400,0.0000,0.0034,0.0006,0.25,2,0.0001,0.0000,1,4,3,2.4204
4,8,11,400,2400.0,3200,0.0002,0.0094,,0.5,9,,,,8,1,0.3741
2,4,3,100,1000,3030200,0.0000,0.0009,0.0004,0.25,2,0.0000,0.0000,1,8,3,0.1357
2,4,0,100,10000,20200,0.0000,58.4838,,0.25,6,,,,4,2,60.0002
8,8,22,200,1200.0,1600,0.0000,0.0013,0.0003,0.25,5,0.0000,0.0000,1,8,1,0.0816
8,8,15,200,1000,1600,0.0000,0.0021,,0.25,5,,,,8,1,0.0872
8,4,9,400,10000,641600,0.0000,0.0042,,0.75,7,,,,8,2,1.3506
2,2,19,400,1000,641600,0.0000,0.0019,,0.25,8,,,,8,2,0.0830
4,2,17,400,1000,641600,0.0000,0.0016,0.0004,0.75,1,0.0001,0.0000,0.1,8,2,0.1166
2,8,5,200,1000,1600,0.0000,0.0052,,0.75,5,,,,8,1,0.1014
8,4,1,100,10000,3000500,0.0000,0.0009,0.0003,0.25,9,0.0000,0.0000,1,8,3,1.3187
8,8,20,400,100000,322400,0.0000,0.1520,,0.25,9,,,,8,2,11.6512
8,4,1,400,10000,128481200,0.0000,0.9925,1.6797,0.25,1,0.4014,0.3829,1,8,3,5.6991
4,2,23,200,1000,24040800,0.0000,0.0012,0.0004,0.25,9,0.0000,0.0000,1,8,3,0.1613
2,2,22,100,1000,5010200,0.0000,0.0010,0.0013,0.25,0,0.0000,0.0001,1,8,3,0.1234
4,8,17,100,1000,5020100,0.0000,0.0017,0.0006,0.5,0,0.0000,0.0000,1,8,3,0.2369
2,4,27,400,1000,256161200,0.0000,0.0040,0.0013,0.75,6,0.0003,0.0001,0.5,8,3,0.1885
4,8,15,100,100000,4030100,0.0000,0.0018,0.0006,0.5,0,0.0001,0.0000,0.3,8,3,18.3184
8,2,26,200,1000,240400,0.0000,0.0029,,0.75,8,,,,8,2,0.1800
2,2,27,100,37725.0,50300,0.0000,0.0042,0.0005,0.25,1,0.0000,0.0000,1,8,2,4.9216
4,2,5,400,1200.0,1600,0.0000,0.0014,0.0004,0.25,6,0.0000,0.0000,1,4,1,0.0800
8,4,6,100,100000,3000100,0.0000,0.0013,0.0003,0.25,2,0.0000,0.0000,1,4,3,14.7135
8,8,8,200,1000,1600,0.0000,0.0027,,0.25,4,,,,8,1,0.0757
2,2,28,200,1000,32120200,0.0000,0.0009,0.0003,0.75,9,0.0001,0.0000,0.7,8,3,0.1294
8,8,8,200,1000,1600,0.0000,0.0024,0.0003,0.25,0,0.0000,0.0000,1,8,1,0.0778
4,2,8,100,100000,3030200,0.0000,0.0010,0.0003,0.75,1,0.0000,0.0000,1,8,3,16.7138
8,8,15,100,600.0,800,0.0000,0.0051,,0.25,0,,,,8,1,0.0879
8,2,26,100,1000,40400,0.0000,0.0009,0.0004,0.75,0,0.0001,0.0000,0.9,8,2,0.1209
2,2,27,200,100000,200600,0.0000,0.0026,0.0005,0.75,1,0.0003,0.0000,0.1,8,2,14.7732
8,4,4,100,10000,30100,0.0000,0.0018,0.0004,0.5,0,0.0000,0.0000,1,4,2,1.1863
4,2,17,100,10000,40400,0.0001,0.0019,0.0012,0.25,9,0.0000,0.0000,1,8,2,1.0367
4,8,17,200,100000,24120400,0.0000,43.4445,,0.75,4,,,,8,3,60.0003
2,8,1,400,100000,960800,0.0000,0.0015,0.0005,0.25,8,0.0001,0.0000,0.2,8,2,12.5366
4,2,8,400,1000,128481200,0.0001,0.0050,,0.5,4,,,,8,3,0.1382
8,4,10,100,600.0,800,0.0000,0.0020,,0.5,5,,,,8,1,0.0526
2,4,16,400,100000,801200,0.0000,0.0009,0.0003,0.25,0,0.0001,0.0000,0.3,8,2,11.6449
2,4,0,200,30150.0,40200,0.0000,0.0013,0.0004,0.25,0,0.0001,0.0000,0.3,2,2,3.3667
4,8,1,400,10000,128160400,0.0000,0.0018,0.0006,0.75,1,0.0003,0.0000,0.9,4,3,1.8029
4,8,1,100,10000,3010000,0.0000,0.0011,0.0003,0.25,7,0.0000,0.0000,1,4,3,1.3486
4,2,23,100,100000,3040100,0.0000,0.0030,0.0006,0.25,8,0.0003,0.0001,1,8,3,15.4673
2,4,5,400,1000,1600,0.0000,0.0029,0.0018,0.25,8,0.0000,0.0000,1,4,1,0.1087
2,4,0,200,60300.0,80400,0.0000,0.0028,,0.25,9,,,,4,2,8.5664
4,4,6,100,22575.0,30100,0.0000,0.0015,0.0006,0.75,0,0.0000,0.0000,1,4,2,3.2624
2,4,16,100,10000,50300,0.0000,0.0017,0.0004,0.5,4,0.0000,0.0000,1,8,2,1.1719
2,4,21,400,10000,192321200,0.0000,0.0016,0.0005,0.25,6,0.0000,0.0000,1,8,3,1.1922
8,8,15,400,2400.0,3200,0.0000,0.0026,,0.25,0,,,,8,1,0.1613
2,4,3,100,10000,2050100,0.0000,0.0010,0.0003,0.75,7,0.0001,0.0000,0.6,8,3,1.2432
4,8,17,400,10000,128481200,0.0000,0.0008,0.0003,0.5,6,0.0000,0.0000,1,8,3,1.4440
4,4,15,200,10000,40080200,0.0000,0.0010,0.0005,0.5,7,0.0001,0.0000,0.3,8,3,1.4082
8,4,9,100,1000,40400,0.0000,0.0023,,0.25,3,,,,8,2,0.0993
4,4,1,400,100000,128000800,0.0000,0.1092,,0.25,9,,,,4,3,15.9063
2,4,5,100,300.0,400,0.0000,0.0019,,0.75,1,,,,4,1,0.0309
2,8,12,400,10000,482000,0.0000,0.0010,0.0004,0.75,9,0.0000,0.0000,1,8,2,1.3090
2,4,27,100,10000,1030400,0.0000,0.0009,0.0003,0.25,4,0.0001,0.0000,0.5,8,3,1.1554
4,2,12,200,1000,1600,0.0000,0.0015,0.0003,0.5,2,0.0000,0.0000,1,8,1,0.0897
2,4,5,100,600.0,800,0.0000,0.0021,,0.5,0,,,,8,1,0.0580
2,2,22,400,1000,256001600,0.0000,0.0026,0.0005,0.25,8,0.0001,0.0000,1,8,3,0.2007
8,2,6,400,2400.0,3200,0.0000,0.0026,0.0003,0.75,1,0.0000,0.0000,1,8,1,0.2280
8,4,9,100,37725.0,50300,0.0000,0.0201,,0.75,9,,,,8,2,5.1843
8,4,8,400,10000,801200,0.0000,0.0048,0.0005,0.5,1,0.0000,0.0000,1,8,2,1.1817
8,4,8,200,10000,121000,0.0000,0.0578,,0.25,2,,,,8,2,1.2915
4,4,1,100,100000,2020000,0.0000,0.0016,0.0004,0.5,2,0.0001,0.0000,0.9,4,3,16.2152
4,4,1,400,10000,64480000,0.0000,0.0011,0.0006,0.5,6,0.0001,0.0000,0.6,4,3,1.1547
2,2,27,200,1000,121000,0.0000,0.0013,0.0005,0.5,3,0.0001,0.0000,0.4,8,2,0.1253
4,4,9,400,2400.0,3200,0.0000,0.0093,,0.75,7,,,,8,1,0.2187
2,8,12,400,1000,1120400,0.0000,0.0037,,0.75,8,,,,8,2,0.1273
2,4,0,100,1000,20200,0.0000,0.0862,,0.75,4,,,,4,2,0.2279
8,8,8,200,1200.0,1600,0.0000,0.0045,,0.75,0,,,,8,1,0.1247
8,4,12,200,100000,24120400,0.0000,0.0014,0.0005,0.25,7,0.0001,0.0000,1,8,3,13.5710
2,4,21,100,1000,3030200,0.0000,0.0009,0.0003,0.75,4,0.0001,0.0000,0.3,8,3,0.1446
2,4,0,400,1000,160400,0.0001,0.0062,0.0116,0.5,9,0.0001,0.0000,0.64,2,2,0.1284
8,4,12,100,100000,4020200,0.0000,0.0017,0.0005,0.5,6,0.0000,0.0000,1,8,3,15.8829
4,8,1,400,10000,128160400,0.0000,0.0693,,0.5,1,,,,4,3,1.4065
8,4,6,400,100000,192000400,0.0000,0.0017,0.0006,0.75,4,0.0001,0.0000,0.6,4,3,17.7308
4,2,8,100,1000,2040200,0.0001,0.0017,0.0004,0.75,3,0.0000,0.0000,1,8,3,0.1277
2,4,21,100,100000,2010500,0.0000,0.0015,0.0003,0.5,5,0.0001,0.0000,0.7,8,3,16.0170
4,8,15,100,100000,3020300,0.0000,0.0014,0.0003,0.25,3,0.0000,0.0000,1,8,3,15.0262
2,2,22,400,100000,192480800,0.0000,0.0009,0.0004,0.75,4,0.0000,0.0000,1,8,3,15.9860
8,8,20,100,30300.0,40400,0.0000,0.0013,0.0005,0.5,2,0.0001,0.0000,0.9,8,2,7.2983
4,4,15,200,10000,48040200,0.0000,0.0023,0.0007,0.25,1,0.0001,0.0001,0.4,8,3,2.6947
2,8,1,200,100000,240400,0.0000,0.0013,0.0004,0.75,4,0.0001,0.0000,0.2,8,2,24.5823
4,4,9,400,1000,3200,0.0000,59.9178,,0.75,3,,,,8,1,60.0003
8,8,20,200,1000,1600,0.0000,0.0060,,0.75,3,,,,8,1,0.2467
8,8,22,400,1000,3200,0.0000,0.0026,0.0004,0.5,3,0.0000,0.0000,1,8,1,0.1371
2,8,12,400,1000,482000,0.0000,0.3410,0.2734,0.75,9,0.2019,0.0918,0.99999986,8,2,1.6842
4,8,17,400,10000,192321200,0.0000,0.0019,0.0007,0.25,1,0.0002,0.0000,0.8,8,3,3.0995
2,2,19,400,1000,801200,0.0000,0.0074,0.0012,0.75,3,0.0017,0.0003,0.6,8,2,0.3284
4,4,15,400,1000,128321600,0.0000,0.0140,,0.5,9,,,,8,3,0.3115
8,4,4,400,1000,320800,0.0000,0.0061,,0.75,5,,,,4,2,0.2888
2,8,23,200,1000,32040600,0.0000,0.0013,0.0004,0.5,8,0.0000,0.0000,1,8,3,0.3185
8,8,4,200,1000,240400,0.0000,0.0097,,0.25,7,,,,8,2,0.3593
4,2,23,400,100000,256320800,0.0000,0.0019,0.0012,0.25,0,0.0002,0.0001,0.2,8,3,33.2661
2,8,1,100,10000,60200,0.0000,0.0620,0.0004,0.25,9,0.0000,0.0000,1,8,2,2.1297
4,4,1,200,100000,16080000,0.0000,0.0022,0.0005,0.75,2,0.0000,0.0000,1,4,3,37.7523
2,4,5,400,1000,3200,0.0000,0.9652,0.0005,0.25,8,0.0004,0.0000,1,8,1,1.2238
8,8,20,100,37725.0,50300,0.0000,0.1111,,0.25,1,,,,8,2,10.9452
2,4,27,100,1000,2030300,0.0000,0.0033,,0.5,2,,,,8,3,0.3131
2,4,3,100,10000,5020100,0.0000,0.0101,0.0006,0.75,1,0.0001,0.0000,1,8,3,3.6288
4,2,17,200,10000,160800,0.0000,0.0052,0.0007,0.5,3,0.0001,0.0000,0.6,8,2,2.9580
2,4,0,100,15150.0,20200,0.0000,0.1364,,0.5,3,,,,4,2,4.7341
8,2,26,200,10000,81200,0.0000,0.0013,0.0005,0.75,6,0.0000,0.0000,1,8,2,2.0228
4,2,1,100,100000,1000100,0.0000,0.0020,0.0004,0.5,4,0.0001,0.0000,0.3,2,3,29.9834
4,2,17,200,10000,160800,0.0000,0.0018,0.0003,0.5,8,0.0000,0.0000,1,8,2,1.2555
2,4,0,100,1000,30100,0.0000,0.0012,0.0005,0.5,8,0.0000,0.0000,1,4,2,0.2689
8,8,4,200,1000,240400,0.0000,0.0084,,0.75,7,,,,8,2,0.5211
4,4,15,200,1000,16080800,0.0000,0.0044,,0.75,9,,,,8,3,0.3351
2,2,19,100,45150.0,60200,0.0000,0.0013,0.0004,0.5,1,0.0001,0.0000,0.9,8,2,12.8235
2,8,1,400,10000,960800,0.0000,0.0309,,0.5,4,,,,8,2,1.5327
4,4,6,100,10000,20200,0.0000,0.0254,,0.75,2,,,,4,2,2.7512
4,2,1,100,100000,2000000,0.0000,0.0031,0.0004,0.75,2,0.0001,0.0000,0.4,2,3,37.7006
8,2,26,400,1000,641600,0.0000,0.0030,0.0005,0.75,9,0.0002,0.0001,0.1,8,2,0.2389
4,4,1,400,1000,128000800,0.0000,0.0019,0.0004,0.25,4,0.0002,0.0000,0.2,4,3,0.1534
2,4,0,200,90150.0,120200,0.0000,0.0010,0.0005,0.25,7,0.0000,0.0000,1,4,2,12.4173
2,4,5,100,300.0,400,0.0000,0.0016,0.0003,0.75,3,0.0000,0.0000,1,4,1,0.0379
8,4,6,100,1000,1020100,0.0000,0.0010,0.0004,0.25,8,0.0000,0.0000,1,4,3,0.1422
2,4,3,100,100000,5010200,0.0000,0.0012,0.0004,0.75,5,0.0001,0.0000,0.5,8,3,21.6668
4,2,12,400,1000,3200,0.0000,0.0049,,0.75,4,,,,8,1,0.1124
8,4,6,200,1000,8080200,0.0000,0.0046,,0.5,7,,,,4,3,0.2104
2,8,12,200,100000,240400,0.0000,0.0460,,0.25,7,,,,8,2,17.7524
2,8,1,400,2400.0,3200,0.0000,0.0041,,0.5,1,,,,8,1,0.2266
4,2,23,200,1000,24160200,0.0000,0.0009,0.0004,0.5,8,0.0000,0.0000,1,8,3,0.1474
8,8,15,200,1000,1600,0.0000,0.0024,0.0005,0.75,5,0.0000,0.0016,1,8,1,0.1797
2,4,3,200,1000,24040800,0.0000,0.0063,,0.75,6,,,,8,3,0.2463
4,8,1,200,10000,24000200,0.0000,0.0302,,0.25,3,,,,4,3,1.7619
4,2,1,400,1000,64000400,0.0000,0.0075,0.0004,0.25,5,0.0000,0.0000,1,2,3,0.2276
2,4,27,100,10000,4010300,0.0000,0.0011,0.0005,0.75,6,0.0001,0.0000,0.6,8,3,2.0527
4,2,12,200,1000,1600,0.0000,0.0063,,0.5,3,,,,8,1,0.1794
8,4,8,200,1000,81200,0.0000,0.0032,,0.5,8,,,,8,2,0.1797
4,4,6,100,15150.0,20200,0.0000,0.0018,0.0006,0.75,1,0.0001,0.0000,0.8,4,2,4.1837
8,4,4,200,1000,120200,0.0000,0.0011,0.0004,0.25,0,0.0000,0.0000,1,4,2,0.1892
4,4,15,100,10000,3010400,0.0000,0.0020,0.0006,0.75,3,0.0001,0.0000,0.8,8,3,3.1275
8,4,4,100,1000,40000,0.0000,0.0049,0.0008,0.25,1,0.0006,0.0001,0.2,4,2,0.2906
8,4,12,200,1000,32040600,0.0000,0.0015,0.0005,0.75,5,0.0001,0.0000,0.3,8,3,0.2826
2,4,27,200,10000,16120600,0.0000,0.0013,0.0004,0.25,2,0.0000,0.0000,1,8,3,2.3773
8,8,20,200,1200.0,1600,0.0000,0.0067,,0.5,1,,,518.,8,1,0.2253
2,2,28,200,100000,32120200,0.0000,0.0010,0.0004,0.75,9,0.0001,0.0000,0.3,8,3,29.3285
8,4,9,400,100000,960800,0.0000,0.1924,,0.5,1,,,,8,2,26.0613
4,8,1,200,10000,24040000,0.0000,0.0050,0.0004,0.5,2,0.0000,0.0000,1,4,3,3.2660
8,4,3,400,2400.0,3200,0.0000,0.0041,,0.5,1,,,,8,1,0.4177
4,4,15,200,10000,32120200,0.0000,0.0011,0.0004,0.5,2,0.0000,0.0000,1,8,3,2.7528
8,4,9,100,45150.0,60200,0.0000,0.0016,0.0005,0.75,1,0.0000,0.0000,1,8,2,10.9068
4,2,23,100,1000,4020200,0.0000,0.0009,0.0003,0.75,0,0.0000,0.0000,1,8,3,0.1304
2,8,1,100,1000,40400,0.0000,0.0010,0.0003,0.5,7,0.0000,0.0000,1,8,2,0.1645
2,4,3,200,100000,24120400,0.0000,0.0008,0.0003,0.5,2,0.0001,0.0000,0.3,8,3,21.1766
2,4,27,200,1000,32040600,0.0000,0.0010,0.0003,0.5,6,0.0000,0.0000,1,8,3,0.1609
2,4,0,200,10000,120200,0.0000,0.0244,,0.75,2,,,,4,2,2.4026
4,4,15,100,10000,3010400,0.0000,0.0015,0.0005,0.25,8,0.0001,0.0000,0.5,8,3,2.2518
4,8,11,200,1200.0,1600,0.0000,0.0050,,0.75,0,,,,8,1,0.2739
8,8,20,400,2400.0,3200,0.0000,0.0039,0.0004,0.5,6,0.0002,0.0000,0.7,8,1,0.2468
2,2,27,400,10000,960800,0.0000,0.0018,0.0004,0.75,5,0.0001,0.0000,0.2,8,2,1.4433
8,4,12,400,10000,256640000,0.0000,0.0018,0.0004,0.75,4,0.0001,0.0000,0.4,8,3,1.7056
2,2,28,100,100000,5020100,0.0000,0.0014,0.0004,0.75,3,0.0001,0.0000,0.2,8,3,20.3840
4,4,6,100,22575.0,30100,0.0000,0.0015,0.0005,0.5,0,0.0000,0.0000,1,4,2,4.7329
4,2,8,200,1000,24040800,0.0000,0.0009,0.0003,0.25,2,0.0000,0.0000,1,8,3,0.0990
8,4,12,100,100000,1050200,0.0000,44.3133,,0.5,3,,,,8,3,60.0002
4,2,5,400,1000,1600,0.0000,0.0029,0.0004,0.25,2,0.0000,0.0000,1,4,1,0.1478
2,8,23,400,10000,256320800,0.0000,0.0013,0.0004,0.5,1,0.0000,0.0000,1,8,3,2.4073
2,8,23,400,100000,384320000,0.0000,0.0015,0.0005,0.25,3,0.0001,0.0000,0.1,8,3,24.3363
8,4,3,400,1000,3200,0.0000,0.0063,,0.75,1,,,,8,1,0.1902
2,4,27,200,10000,32080400,0.0000,0.0013,0.0005,0.5,8,0.0000,0.0000,1,8,3,2.4651
8,4,3,400,2400.0,3200,0.0000,0.0059,,0.75,1,,,,8,1,0.5544
4,8,1,400,10000,192160000,0.0000,0.0014,0.0004,0.25,7,0.0000,0.0000,1,4,3,2.4152
2,4,0,200,10000,80000,0.0000,0.0014,0.0005,0.5,1,0.0001,0.0000,0.2,2,2,2.1024
4,2,15,200,10000,8160600,0.0000,0.0025,0.0005,0.5,7,0.0002,0.0000,0.5,8,3,2.4057
8,4,10,200,1000,1600,0.0000,0.0043,,0.75,6,,,,8,1,0.1968
8,4,1,400,100000,256320800,0.0000,0.0038,0.0004,0.5,0,0.0000,0.0000,1,8,3,22.4479
8,4,6,200,1000,16080000,0.0001,0.0021,0.0008,0.75,0,0.0001,0.0000,0.8,4,3,0.4010
2,4,0,200,10000,120200,0.0000,0.0015,0.0005,0.5,8,0.0001,0.0000,0.8,4,2,1.7772
8,8,4,200,100000,160800,0.0000,0.0012,0.0004,0.75,1,0.0001,0.0000,0.1,8,2,26.4487
2,4,27,200,100000,16120600,0.0000,0.0017,0.0005,0.75,7,0.0001,0.0000,0.1,8,3,27.4372
2,8,1,100,1000,60200,0.0000,0.0035,0.0031,0.5,9,0.0002,0.0003,1,8,2,0.3859
2,2,28,400,100000,256161200,0.0000,0.0011,0.0003,0.5,5,0.0001,0.0000,0.4,8,3,28.0044
8,2,6,100,600.0,800,0.0000,0.0030,,0.75,8,,,,8,1,0.0696
2,4,21,400,1000,128162000,0.0000,0.0013,0.0005,0.75,5,0.0001,0.0000,0.1,8,3,0.1985
2,2,27,400,10000,960800,0.0000,0.0058,0.0007,0.5,6,0.0001,0.0000,1,8,2,2.6094
4,4,1,100,10000,2020000,0.0000,0.0019,0.0005,0.25,2,0.0001,0.0000,0.2,4,3,1.9894
2,2,19,100,1000,10700,0.0000,0.0012,0.0005,0.5,9,0.0001,0.0000,0.5,8,2,0.1710
4,4,15,200,1000,24040800,0.0000,0.0046,,0.5,3,,,,8,3,0.2253
4,2,9,200,1000,1600,0.0000,59.8280,,0.5,8,,,,8,1,60.0002
2,2,22,200,100000,16080800,0.0000,0.0012,0.0003,0.25,6,0.0000,0.0000,1,8,3,22.5576
2,4,21,400,10000,256640000,0.0000,0.0011,0.0006,0.75,0,0.0001,0.0000,0.8,8,3,3.1134
4,2,8,100,1000,4010300,0.0000,0.0012,0.0006,0.75,6,0.0001,0.0000,0.8,8,3,0.1845
8,4,10,400,2400.0,3200,0.0000,0.0060,,0.75,5,,,,8,1,0.2964
4,8,11,100,600.0,800,0.0000,59.8575,,0.25,5,,,,8,1,60.0002
4,2,15,100,10000,6000200,0.0000,0.0035,0.0005,0.25,5,0.0001,0.0000,0.4,8,3,2.5982
4,2,8,200,1000,24120400,0.0000,0.0022,0.0004,0.5,9,0.0001,0.0000,0.4,8,3,0.2416
2,4,16,200,100000,200600,0.0001,0.0040,0.0006,0.25,9,0.0000,0.0000,1,8,2,13.4742
8,2,6,400,2400.0,3200,0.0000,0.0039,,0.25,6,,,,8,1,0.3577
4,2,17,100,10000,40400,0.0000,0.0180,0.0219,0.75,3,0.0056,0.0027,0.6,8,2,2.1844
8,4,9,100,30300.0,40400,0.0000,0.0012,0.0004,0.25,2,0.0000,0.0000,1,8,2,3.6485
4,4,15,200,1000,40080200,0.0000,0.0012,0.0004,0.25,7,0.0000,0.0000,1,8,3,0.2347
2,4,16,400,10000,801200,0.0000,0.0013,0.0004,0.25,6,0.0000,0.0000,1,8,2,1.9222
4,8,1,200,100000,24000200,0.0000,0.5563,,0.5,3,,,,4,3,21.6813
8,8,20,200,1000,160800,0.0000,0.0017,0.0005,0.25,2,0.0000,0.0000,1,8,2,0.1817
8,8,20,100,10000,50300,0.0000,0.0522,,0.25,3,,,,8,2,1.8485
4,8,17,200,1000,40080200,0.0000,0.0023,,0.75,0,,,,8,3,0.1816
2,2,27,400,100000,801200,0.0000,0.0012,0.0004,0.5,0,0.0000,0.0000,1,8,2,15.4363
4,2,17,100,1000,30500,0.0000,0.0013,0.0004,0.25,4,0.0000,0.0000,1,8,2,0.1065
2,4,27,100,100000,4010300,0.0000,0.0013,0.0004,0.5,3,0.0001,0.0000,0.7,8,3,22.0982
2,2,27,100,45150.0,60200,0.0000,0.0060,0.0008,0.75,8,0.0007,0.0001,0.6,8,2,11.1166
2,2,19,200,100000,200600,0.0000,0.0010,0.0003,0.75,2,0.0000,0.0000,1,8,2,22.0494
2,4,21,400,10000,256640000,0.0000,0.0009,0.0003,0.25,0,0.0000,0.0000,1,8,3,1.5714
2,4,16,400,100000,801200,0.0000,0.0015,0.0006,0.5,6,0.0001,0.0000,0.2,8,2,16.5053
4,2,12,100,600.0,800,0.0000,0.0023,0.0003,0.5,3,0.0001,0.0000,1,8,1,0.0604
4,2,1,400,1000,64160000,0.0000,0.0023,0.0005,0.25,8,0.0000,0.0000,1,2,3,0.1347
8,2,26,200,10000,160800,0.0000,0.0013,0.0004,0.25,9,0.0000,0.0000,1,8,2,2.1736
4,2,8,400,100000,192480800,0.0000,0.0014,0.0005,0.75,1,0.0001,0.0000,0.3,8,3,27.5890
2,4,5,100,600.0,800,0.0000,0.0046,,0.5,6,,,,8,1,0.0929
4,2,17,400,10000,641600,0.0000,0.0009,0.0003,0.25,5,0.0001,0.0000,0.1,8,2,1.8890
2,8,23,100,100000,4020200,0.0000,0.0872,,0.5,9,,,,8,3,27.7605
8,8,20,100,1000,40400,0.0000,0.0138,,0.75,0,,,,8,2,0.2438
8,4,8,200,100000,200600,0.0000,0.0013,0.0005,0.75,6,0.0001,0.0000,0.8,8,2,17.1888
2,2,28,400,100000,192480800,0.0000,0.0014,0.0005,0.75,2,0.0001,0.0000,0.1,8,3,27.8043
2,2,27,100,1000,30500,0.0000,0.0021,0.0005,0.75,7,0.0000,0.0000,1,8,2,0.2242
4,4,9,200,1200.0,1600,0.0000,0.0046,,0.75,9,,,,8,1,0.2344
4,4,9,100,600.0,800,0.0000,0.0060,,0.75,8,,,,8,1,0.1157
4,8,1,400,10000,192160000,0.0000,0.0013,0.0005,0.75,7,0.0001,0.0000,0.7,4,3,2.7421
2,4,3,400,10000,320160800,0.0000,0.0015,0.0005,0.5,5,0.0001,0.0000,0.2,8,3,2.5155
4,2,12,400,1000,3200,0.0000,0.0072,,0.75,1,,,,8,1,0.2019
2,4,3,100,100000,2050100,0.0000,0.4183,,0.75,4,,,,8,3,22.6500
8,8,22,400,1000,3200,0.0000,0.0034,,0.25,6,,,,8,1,0.2411
8,2,26,100,1000,50300,0.0000,0.0020,0.0007,0.25,7,0.0000,0.0000,1,8,2,0.3551
4,8,17,400,1000,128481200,0.0000,0.0031,0.0005,0.25,6,0.0000,0.0000,1,8,3,0.3020
8,2,26,100,10000,70100,0.0000,0.0014,0.0004,0.25,5,0.0001,0.0000,0.8,8,2,1.8885
2,8,5,400,2400.0,3200,0.0000,0.0101,,0.75,2,,,,8,1,0.6638
4,8,15,200,1000,24080600,0.0000,0.0790,0.0006,0.5,1,0.0001,0.0000,1,8,3,0.4683
4,2,17,400,100000,641600,0.0000,0.0021,0.0007,0.5,7,0.0001,0.0000,1,8,2,24.2276
2,4,3,100,1000,5020100,0.0000,0.0099,0.0171,0.75,1,0.0004,0.0001,0.55,8,3,0.2581
8,8,4,400,10000,960800,0.0000,0.0022,0.0005,0.5,7,0.0001,0.0002,1,8,2,1.7342
4,8,1,200,1000,16000400,0.0000,0.0026,,0.75,6,,,,4,3,0.1762
4,4,1,200,1000,16000400,0.0000,0.0012,0.0007,0.25,4,0.0001,0.0000,1,4,3,0.1583
2,8,1,400,100000,482000,0.0000,0.0014,0.0005,0.25,1,0.0000,0.0000,1,8,2,19.9211
8,4,9,400,1000,482000,0.0000,0.0015,0.0027,0.75,8,0.0004,0.0004,0.2,8,2,0.2249
2,8,1,100,10000,30500,0.0000,0.0013,0.0006,0.75,1,0.0001,0.0000,0.5,8,2,2.1959
8,2,6,100,600.0,800,0.0000,0.0031,,0.5,7,,,,8,1,0.1180
2,4,16,100,1000,50300,0.0000,0.0028,0.0005,0.25,0,0.0000,0.0000,1,8,2,0.1996
2,4,5,200,1200.0,1600,0.0000,0.0042,,0.5,7,,,,8,1,0.1383
4,2,15,100,10000,3020300,0.0000,0.0015,0.0004,0.25,6,0.0000,0.0000,1,8,3,2.4358
8,8,22,200,1000,1600,0.0000,0.0064,,0.5,1,,,,8,1,0.3093
8,8,22,200,1000,1600,0.0000,0.0051,,0.75,7,,,,8,1,0.3260
