maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
3,8,2,400,1000,192321200,0.0000,0.0000,6,0.0012,15,0.1067,0.0030,1,0.25,4
3,4,8,200,100000,16040200,0.0000,0.0001,4,0.0017,1,21.6909,0.0022,0.3,0.5,4
2,8,4,400,100000,801200,0.0000,0.0000,6,0.0014,8,19.5077,0.0023,1,0.25,8
1,8,2,400,1000,3200,0.0000,0.0002,7,0.0025,6,0.1858,0.0027,0.9,0.75,8
1,8,8,400,2400.0,3200,0.0000,0.0000,3,0.0024,22,0.3575,0.0022,1,0.5,8
2,8,4,200,1000,160800,0.0000,,7,0.0046,16,0.2011,,,0.5,2
1,8,8,200,1200.0,1600,0.0000,,2,0.0066,11,0.1951,,,0.5,4
1,8,2,400,1000,3200,0.0000,,7,0.0068,9,0.1497,,,0.25,4
2,4,4,400,10000,640000,0.0000,,0,0.0076,0,1.7763,,,0.25,2
3,8,2,100,1000,2020400,0.0000,0.0001,3,0.0015,22,0.1490,0.0029,0.7,0.75,2
2,4,4,400,10000,320800,0.0000,,9,0.0077,4,2.2681,,,0.75,8
3,4,4,400,100000,192000400,0.0000,0.0000,2,0.0034,6,19.8132,0.0013,1,0.25,8
1,8,4,400,2400.0,3200,0.0000,,7,0.0047,10,0.3466,,,0.5,8
3,8,4,400,100000,256161200,0.0000,,6,0.0924,27,17.0938,,,0.75,2
3,4,4,200,1000,16040200,0.0000,0.0000,5,0.0009,1,0.1207,0.0013,1,0.25,4
3,8,4,200,1000,32080400,0.0000,0.0000,5,0.0009,15,0.1244,0.0012,1,0.5,4
3,8,4,100,10000,4030100,0.0000,0.0000,2,0.0009,15,1.3325,0.0012,1,0.5,4
2,8,2,400,100000,801200,0.0000,0.0000,3,0.0010,19,13.4429,0.0019,1,0.75,2
1,8,2,400,1000,3200,0.0000,,0,0.0064,6,0.1308,,,0.25,8
3,8,2,400,10000,384320000,0.0000,0.0001,6,0.0014,28,2.8128,0.0022,1,0.5,2
1,8,2,100,600.0,800,0.0000,,0,0.0035,9,0.1169,,,0.75,4
1,8,4,100,600.0,800,0.0000,,4,0.0053,3,0.1181,,,0.75,8
2,8,2,100,37725.0,50300,0.0000,0.0002,7,0.0014,19,6.8589,0.0024,0.3,0.75,2
2,2,4,400,1000,320000,0.0000,,8,0.0055,0,0.1678,,,0.5,2
3,8,4,100,1000,2050100,0.0000,0.0000,7,0.0021,3,0.1442,0.0024,1,0.75,2
3,8,4,100,100000,4010300,0.0000,0.0000,3,0.0013,27,26.5072,0.0011,1,0.75,2
3,8,8,200,10000,48080000,0.0000,0.0000,3,0.0010,23,1.9446,0.0012,1,0.75,2
3,8,8,200,100000,24080600,0.0000,0.0003,1,0.0035,17,24.7687,0.0029,0.956,0.5,4
3,4,4,400,1000,192000400,0.0000,0.0000,7,0.0133,1,0.2835,0.0022,1,0.75,4
1,8,8,400,2400.0,3200,0.0000,,3,0.0083,1,0.4641,,,0.75,2
3,8,4,200,10000,24200000,0.0000,,5,0.0233,1,2.6015,,,0.75,8
3,8,4,100,10000,4010300,0.0000,0.0001,2,0.0014,21,2.2944,0.0025,0.8,0.25,2
2,8,4,200,100000,160800,0.0000,0.0001,2,0.0014,9,21.9007,0.0027,0.7,0.5,8
1,8,4,400,1000,3200,0.0000,,2,0.0060,9,0.1637,,829.,0.5,4
1,8,8,400,2400.0,3200,0.0000,,1,0.0057,5,0.4341,,,0.75,2
3,2,2,200,1000,8000200,0.0000,0.0000,9,0.0013,1,0.2216,0.0022,1,0.25,4
3,8,2,100,10000,2030300,0.0000,0.0000,2,0.0014,15,2.2857,0.0023,1,0.5,4
2,8,8,200,10000,240400,0.0000,0.0001,7,0.0013,12,1.8860,0.0027,0.6,0.25,2
3,8,8,100,10000,3030200,0.0000,,4,0.0108,17,2.4045,,,0.5,4
2,8,2,200,10000,160800,0.0000,0.0000,9,0.0013,17,2.2827,0.0023,1,0.75,4
3,4,8,100,1000,2010100,0.0000,0.0001,4,0.0013,1,0.2238,0.0023,0.9,0.5,4
1,8,8,200,1200.0,1600,0.0000,0.0002,6,0.0025,22,0.2180,0.0029,0.7,0.75,8
3,2,2,100,10000,1010000,0.0000,0.0001,1,0.0014,1,2.6564,0.0026,0.6,0.75,4
1,8,2,100,600.0,800,0.0000,0.0000,7,0.0024,12,0.0988,0.0020,1,0.5,4
