maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
4,0.0000,0.0000,0.0000,8,6,1.7377,3,17,400,0.75,0.0192,0.0014,0.0002,0.0001,128481200,10000,8,0.5
2,0.0000,,0.0000,8,0,0.2723,1,5,400,0.25,,0.0048,,0.0000,3200,2400.0,8,1
2,0.0000,,0.0000,8,0,0.0852,2,27,400,0.25,,0.0008,,0.0000,801200,1000,2,1
4,,,0.0000,4,5,0.8227,2,6,100,0.75,,0.0019,,,10300,7725.0,4,
4,0.0000,,0.0000,8,3,0.2493,1,9,400,0.5,,0.1579,,0.0002,3200,1000,2,1
4,0.0000,,0.0000,8,1,1.8325,3,23,200,0.5,,0.0009,,0.0000,24080600,10000,2,1
4,0.0000,,0.0000,8,7,22.4483,3,15,100,0.25,,0.0024,,0.0000,1040300,100000,2,1
4,0.0000,,0.0000,8,3,22.6241,3,8,200,0.25,,0.0015,,0.0000,16160400,100000,2,1
8,,,0.0000,8,2,0.3119,1,20,200,0.75,,0.0064,,,1600,1200.0,8,
2,0.0000,,0.0000,8,4,2.3542,3,28,100,0.75,,0.0011,,0.0000,3030200,10000,2,1
2,0.0000,,0.0000,8,5,9.0638,2,27,100,0.25,,0.0019,,0.0001,60200,45150.0,2,1
2,0.0000,0.0000,0.0000,8,5,1.6352,2,1,200,0.5,0.0163,0.0011,0.0001,0.0001,41400,10000,8,0.1
4,,,0.0000,4,7,0.1464,1,5,400,0.75,,0.0091,,,1600,1000,2,
4,0.0000,,0.0000,4,3,3.7278,2,6,100,0.5,,0.0014,,0.0000,40000,30000.0,4,1
2,0.0000,,0.0000,8,3,1.5359,3,27,400,0.25,,0.0008,,0.0000,256161200,10000,4,1
4,,,0.0000,8,7,0.0590,1,9,100,0.75,,0.0021,,,800,600.0,4,
4,0.0000,0.0000,0.0000,8,8,1.1134,2,17,100,0.75,0.0139,0.0009,0.0001,0.0001,40400,10000,2,0.1
2,0.0000,0.0000,0.0000,8,0,1.7799,3,3,100,0.75,0.0111,0.0009,0.0001,0.0001,3020300,10000,4,0.8
8,,,0.0000,8,7,0.1027,3,12,400,0.5,,0.0023,,,192480800,1000,4,
2,0.0000,0.0000,0.0000,8,0,5.1291,2,16,100,0.75,0.0154,0.0009,0.0001,0.0001,50300,37725.0,4,0.9
4,,,0.0000,8,5,0.1420,1,12,200,0.25,,0.0045,,,1600,1200.0,2,
2,0.0000,0.0000,0.0000,8,5,16.8914,3,27,200,0.75,0.0296,0.0015,0.0002,0.0001,32120200,100000,4,0.5
4,0.0000,0.0000,0.0000,4,4,16.5846,3,1,400,0.5,0.0188,0.0011,0.0001,0.0001,128000800,100000,4,0.3
8,,,0.0000,8,7,0.0788,1,10,400,0.5,,0.0027,,,3200,1000,4,
4,0.0000,0.0000,0.0000,8,1,0.1022,1,9,400,0.5,0.0108,0.0016,0.0001,0.0001,3200,1000,4,0.9
4,0.0000,0.0000,0.0000,8,8,1.6152,3,15,100,0.75,0.0205,0.0016,0.0002,0.0001,4010300,10000,2,0.1
8,,,0.0000,8,4,0.3305,2,4,400,0.25,,0.1913,,,641600,1000,8,
4,0.0000,,0.0000,4,4,0.1697,3,1,200,0.5,,0.0007,,0.0000,16000400,1000,4,1
2,0.0000,0.0000,0.0000,8,0,19.9844,3,27,400,0.75,0.0249,0.0014,0.0001,0.0001,320320400,100000,4,0.5
2,0.0000,0.0000,0.0000,4,9,0.1981,2,0,400,0.5,0.0158,0.0015,0.0001,0.0001,320800,1000,4,0.5
2,0.0000,,0.0000,8,8,26.0527,3,3,400,0.25,,2.2852,,0.0012,256320800,100000,4,1
8,0.0000,0.0000,0.0000,4,4,5.1198,2,4,100,0.75,0.0296,0.0024,0.0002,0.0002,30100,22575.0,4,0.3
4,0.0000,0.0000,0.0000,8,1,15.8688,3,15,200,0.5,0.0183,0.0010,0.0001,0.0001,24080600,100000,8,0.4
2,,,0.0001,8,1,0.1435,1,1,200,0.5,,0.0046,,,1600,1000,8,
2,,,0.0000,8,2,2.3909,3,21,200,0.75,,0.0045,,,32040600,10000,4,
8,,,0.0000,8,8,0.3609,1,3,400,0.75,,0.0085,,,3200,2400.0,4,
8,,,0.0001,8,3,0.0969,1,8,100,0.75,,0.0031,,,800,600.0,8,
4,0.0000,0.0000,0.0000,8,0,24.3281,3,15,200,0.5,0.0266,0.0012,0.0002,0.0001,24160200,100000,4,0.7
2,0.0000,,0.0000,8,0,21.9603,2,27,200,0.5,,0.0023,,0.0000,200600,100000,2,1
2,,,0.0000,8,3,0.1482,2,12,200,0.5,,0.0035,,,160800,1000,8,
2,0.0000,0.0000,0.0000,4,6,2.6928,2,0,200,0.75,0.0141,0.0013,0.0001,0.0001,80400,10000,4,0.9
8,,,0.0000,8,0,0.1506,2,4,200,0.5,,0.0043,,,160800,1000,8,
8,0.0000,0.0000,0.0000,8,0,2.8174,3,1,100,0.5,0.0152,0.0012,0.0001,0.0001,4020200,10000,4,0.6
2,0.0000,0.0000,0.0000,8,8,0.1274,1,5,200,0.5,0.0197,0.0016,0.0002,0.0001,1600,1200.0,8,0.8
4,0.0000,0.0001,0.0000,8,6,28.6049,3,23,100,0.75,0.0457,0.0026,0.0002,0.0001,6010100,100000,2,0.6
2,0.0000,,0.0000,8,3,0.1052,3,23,200,0.25,,0.0009,,0.0000,48080000,1000,8,1
4,0.0000,,0.0000,2,0,30.4842,3,1,400,0.75,,0.0018,,0.0000,64160000,100000,2,1
4,0.0000,,0.0000,2,0,1.7990,3,1,200,0.25,,0.0013,,0.0000,8040000,10000,2,1
4,0.0000,,0.0000,4,7,3.1648,3,1,100,0.25,,0.0014,,0.0000,3000100,10000,4,1
4,0.0000,0.0000,0.0000,8,4,2.8393,3,17,100,0.25,0.0288,0.0018,0.0002,0.0001,3030200,10000,8,0.9
8,,,0.0002,8,6,0.2218,1,3,400,0.5,,0.0114,,,3200,1000,4,
8,,,0.0000,8,3,0.1875,1,20,200,0.25,,0.0060,,,1600,1000,8,
2,0.0000,,0.0000,8,3,2.9968,2,19,400,0.75,,0.0014,,0.0000,801200,10000,2,1
2,,,0.0001,8,5,0.2087,1,5,400,0.25,,0.0132,,,3200,1000,8,
2,0.0003,,0.0000,8,7,2.6932,3,28,400,0.5,,0.0041,,0.0003,320320400,10000,2,1
8,0.0000,,0.0000,8,8,0.2006,3,12,200,0.5,,0.0011,,0.0000,32080400,1000,4,1
8,,,0.0000,8,8,0.1796,1,22,200,0.75,,0.0025,,,1600,1200.0,8,
8,,,0.0000,8,7,2.1132,2,8,200,0.25,,0.0326,,,200600,10000,4,
8,,,0.0000,8,0,0.3481,3,1,100,0.5,,0.0062,,,4020200,1000,4,
8,,,0.0000,8,0,2.9864,2,9,200,0.5,,0.0316,,,81200,10000,4,
2,0.0000,,0.0000,8,9,0.1659,2,16,200,0.25,,0.0020,,0.0000,200600,1000,4,1
8,0.0000,0.0000,0.0000,8,0,0.2492,3,1,100,0.25,0.0285,0.0011,0.0001,0.0001,4020200,1000,4,0.7
2,,,0.0000,8,7,0.2405,3,21,200,0.75,,0.0025,,,32040600,1000,4,
4,0.0000,,0.0000,8,6,24.1758,3,8,400,0.25,,0.0012,,0.0000,256161200,100000,2,1
8,0.0000,,0.0000,8,7,1.5599,2,9,200,0.25,,0.0097,,0.0000,160800,10000,4,1
2,0.0000,,0.0000,8,5,2.0625,2,16,100,0.25,,0.0016,,0.0000,40400,10000,4,1
2,,,0.0000,8,6,15.8358,2,1,100,0.5,,0.0552,,,80000,60000.0,8,
8,,,0.0000,8,2,0.1864,2,8,100,0.75,,0.0041,,,30500,1000,4,
2,0.0000,0.0000,0.0000,8,5,20.1806,2,19,200,0.5,0.0368,0.0011,0.0001,0.0001,160800,100000,2,0.3
2,0.0000,,0.0000,8,2,25.9474,2,16,200,0.75,,0.0010,,0.0000,200600,100000,4,1
4,,,0.0000,4,8,1.9365,3,1,400,0.5,,0.0224,,,128160400,10000,8,
4,,,0.0000,8,8,0.1268,2,17,400,0.25,,0.0030,,,641600,1000,2,
2,,,0.0000,8,2,0.1353,1,1,200,0.25,,0.0054,,,1600,1000,8,
8,,,0.0000,8,5,0.1365,1,20,200,0.25,,0.0030,,,1600,1200.0,8,
4,0.0000,,0.0000,8,1,0.1617,3,8,400,0.25,,0.0014,,0.0000,192480800,1000,2,1
4,0.0000,,0.0000,8,3,1.7548,3,15,400,0.25,,0.0011,,0.0000,192321200,10000,8,1
2,0.0000,,0.0000,8,5,20.7609,2,27,200,0.5,,0.0012,,0.0000,240400,100000,2,1
2,0.0000,,0.0000,8,5,21.5005,3,23,200,0.5,,0.0011,,0.0000,24120400,100000,8,1
2,,,0.0000,8,0,2.9124,2,1,100,0.75,,0.0029,,,30500,22875.0,8,
8,0.0000,0.0000,0.0000,4,4,0.1739,3,6,200,0.75,0.0125,0.0011,0.0001,0.0001,24000200,1000,4,0.1
4,,,0.0000,8,4,0.0887,1,9,200,0.25,,0.0023,,,1600,1200.0,4,
2,0.0000,0.0000,0.0000,8,3,0.1651,3,27,100,0.75,0.0127,0.0010,0.0002,0.0001,4010300,1000,4,0.4
4,0.0647,0.0005,0.0000,8,0,60.2836,1,12,200,0.5,59.5216,0.2099,0.0097,0.0815,1600,1200.0,2,0.51
4,0.0000,0.0000,0.0000,2,9,0.3281,3,1,200,0.75,0.0233,0.0017,0.0001,0.0002,8000200,1000,2,0.1
4,0.0000,0.0000,0.0000,4,0,0.2534,2,6,100,0.75,0.0193,0.0013,0.0002,0.0001,30100,1000,4,0.6
2,0.0000,0.0000,0.0000,4,9,11.7251,2,0,200,0.5,0.0179,0.0010,0.0002,0.0001,80400,60300.0,4,0.2
8,,,0.0000,8,5,0.1155,1,22,100,0.5,,0.0601,,,800,600.0,8,
4,,,0.0000,8,6,1.1420,3,15,200,0.25,,0.0107,,,16080800,10000,8,
2,0.0000,0.0000,0.0000,8,5,1.3121,3,23,400,0.5,0.0137,0.0010,0.0001,0.0001,192480800,10000,8,0.9
4,,,0.0000,8,1,60.0003,3,15,400,0.75,,35.0113,,,192321200,100000,8,
4,0.0000,0.0000,0.0000,4,3,0.2530,3,1,200,0.5,0.0172,0.0014,0.0002,0.0001,24000200,1000,4,0.3
2,0.0000,,0.0000,8,4,16.1244,2,1,400,0.25,,0.0014,,0.0000,960800,100000,8,1
4,0.0000,0.0000,0.0000,8,4,2.4635,3,15,400,0.75,0.0185,0.0015,0.0002,0.0001,192480800,10000,4,0.5
8,0.0000,0.0000,0.0000,8,3,2.0064,2,4,200,0.75,0.0132,0.0010,0.0001,0.0001,240400,10000,8,0.1
4,,,0.0000,4,6,0.1055,2,6,100,0.25,,0.0077,,,20200,1000,4,
2,,,0.0000,8,8,1.7245,3,23,400,0.75,,0.0029,,,256161200,10000,8,
4,0.0000,,0.0000,8,0,1.5028,3,15,100,0.5,,0.0016,,0.0000,2010500,10000,2,1
4,0.0000,,0.0000,2,2,0.2566,3,1,200,0.5,,0.0013,,0.0000,16000000,1000,2,1
4,,,0.0000,8,6,0.2073,1,9,400,0.75,,0.0058,,,3200,1000,4,
8,,,0.0000,8,5,16.4884,2,20,200,0.5,,0.0798,,,200600,100000,8,
8,,,0.0000,8,6,2.1494,2,9,100,0.75,,0.0035,,,60200,10000,4,
4,0.0000,0.0000,0.0000,8,0,2.3739,3,15,200,0.75,0.0174,0.0014,0.0001,0.0001,32120200,10000,8,0.4
4,0.0000,,0.0000,8,6,0.1692,2,17,200,0.5,,0.0035,,0.0000,121000,1000,2,1
2,0.0000,0.0000,0.0000,8,0,2.1175,2,19,200,0.75,0.0245,0.0013,0.0001,0.0001,121000,10000,2,0.4
4,0.0000,,0.0000,8,7,13.7941,2,17,400,0.75,,0.0009,,0.0000,641600,100000,2,1
2,,,0.0000,8,1,1.3378,2,16,100,0.5,,0.0090,,,40400,10000,4,
4,0.0000,0.0000,0.0000,8,5,20.7243,3,17,200,0.25,0.0311,0.0016,0.0002,0.0001,24120400,100000,8,0.6
2,0.0000,0.0000,0.0000,8,6,0.2535,2,16,200,0.5,0.0175,0.0014,0.0002,0.0001,200600,1000,4,0.4
8,,,0.0000,8,9,0.1824,1,15,200,0.25,,0.0035,,,1600,1200.0,8,
4,,,0.0000,8,5,0.4150,1,12,400,0.75,,0.0040,,,3200,2400.0,2,
8,0.0000,0.0000,0.0000,4,0,0.4956,2,4,200,0.75,0.0173,0.2356,0.0002,0.0003,120200,1000,4,0.1
2,0.0000,0.0000,0.0000,8,5,2.3178,3,28,400,0.25,0.0184,0.0014,0.0003,0.0001,256161200,10000,2,0.4
4,0.0000,,0.0000,2,7,2.3202,3,1,400,0.25,,0.0014,,0.0000,64000400,10000,2,1
8,,,0.0000,8,0,0.2192,2,8,400,0.75,,0.0034,,,801200,1000,4,
8,0.0000,0.0000,0.0000,8,3,9.9103,2,4,100,0.5,0.0223,0.0015,0.0002,0.0001,60200,45150.0,8,0.2
4,0.0000,0.0000,0.0000,8,7,2.4393,3,23,400,0.75,0.0176,0.0029,0.0001,0.0002,192480800,10000,2,0.6
4,0.0000,,0.0000,4,3,24.0430,3,1,400,0.25,,0.0015,,0.0000,192000400,100000,8,1
8,,,0.0000,8,4,0.0957,1,10,400,0.75,,0.0035,,,3200,1000,4,
4,0.0000,0.0000,0.0000,8,0,18.0903,3,15,400,0.5,0.0308,0.0018,0.0002,0.0001,128162000,100000,2,0.1
2,0.0000,0.0000,0.0000,2,6,0.2956,2,0,200,0.75,0.0174,0.0045,0.0002,0.0001,40200,1000,4,0.2
4,0.0000,0.0000,0.0000,8,3,6.3631,2,17,100,0.75,0.0145,0.0011,0.0001,0.0001,40400,30300.0,2,0.9
4,0.0000,,0.0000,8,2,18.9407,3,8,200,0.25,,0.0019,,0.0000,24040800,100000,2,1
8,,,0.0000,8,2,0.1140,2,9,100,0.75,,0.0032,,,40400,1000,4,
8,0.0000,,0.0000,8,7,1.4324,3,12,100,0.25,,0.0012,,0.0000,3030200,10000,4,1
8,,,0.0000,2,9,0.0484,1,1,400,0.25,,0.0031,,,800,600.0,8,
8,,,0.0000,8,8,60.0002,1,20,400,0.5,,59.7510,,,3200,2400.0,8,
4,,,0.0000,8,0,0.3302,1,9,400,0.25,,0.0070,,,3200,2400.0,4,
4,0.0664,0.0003,0.0000,8,9,60.2946,3,15,200,0.75,59.3659,0.1679,0.0073,0.0770,64000000,1000,8,0.51
2,0.0000,0.0001,0.0000,8,4,25.7613,2,27,400,0.75,0.0403,0.0021,0.0002,0.0001,801200,100000,2,0.5
8,0.0000,0.0000,0.0000,8,8,0.1749,2,20,400,0.25,0.0149,0.0012,0.0001,0.0001,482000,1000,8,0.2
4,0.0000,,0.0000,8,1,24.2113,3,23,400,0.5,,0.0012,,0.0000,192321200,100000,2,1
4,0.0000,,0.0000,8,0,2.7419,3,23,100,0.75,,0.0022,,0.0001,4020200,10000,2,1
8,0.0000,,0.0000,8,6,0.2171,2,8,400,0.25,,0.0018,,0.0000,801200,1000,4,1
2,0.0000,0.0000,0.0000,8,5,13.6207,2,12,200,0.5,0.0175,0.0010,0.0001,0.0001,160800,100000,8,0.9
4,0.0000,0.0000,0.0000,8,1,1.6774,3,23,400,0.5,0.0153,0.0009,0.0001,0.0001,192321200,10000,2,0.9
2,,,0.0000,8,2,0.0568,1,5,100,0.75,,0.0029,,,800,600.0,8,
2,0.0000,0.0000,0.0000,8,0,0.1483,3,22,200,0.75,0.0108,0.0017,0.0001,0.0001,40040400,1000,2,0.1
2,,,0.0000,8,0,1.2893,2,16,400,0.5,,0.0107,,,801200,10000,4,
2,,,0.0000,8,5,1.3989,2,16,400,0.75,,0.0078,,,641600,10000,4,
2,,,0.0000,8,6,1.0515,3,22,100,0.25,,0.0027,,,2020400,10000,2,
4,0.0000,0.0000,0.0000,4,1,0.2767,3,1,100,0.75,0.0195,0.0014,0.0002,0.0001,2020000,1000,4,0.2
2,,,0.0000,8,2,0.1702,2,27,100,0.5,,0.0031,,,50300,1000,2,
2,0.0000,,0.0000,8,9,1.2172,3,22,200,0.5,,0.0015,,0.0001,24120400,10000,2,1
4,0.0000,0.0000,0.0000,8,3,15.8077,3,15,400,0.5,0.0490,0.0015,0.0002,0.0001,192321200,100000,2,0.5
4,0.0000,,0.0000,8,5,0.1097,3,8,200,0.25,,0.0008,,0.0000,56000200,1000,2,1
2,0.0000,,0.0000,8,6,0.0990,3,27,100,0.25,,0.0008,,0.0000,4010300,1000,4,1
4,,,0.0000,8,0,0.0790,1,9,400,0.5,,0.0020,,,3200,1000,4,
4,0.0000,,0.0000,2,9,0.1592,3,1,200,0.5,,0.0013,,0.0000,8000200,1000,2,1
4,0.0000,,0.0000,8,2,0.2570,3,23,200,0.5,,0.0013,,0.0000,40120000,1000,2,1
2,,,0.0000,8,9,6.6373,2,1,100,0.5,,0.2739,,,60200,45150.0,8,
8,,,0.0000,8,6,0.0999,1,6,100,0.75,,0.0050,,,800,600.0,2,
2,0.0000,0.0000,0.0000,8,9,0.1640,2,19,100,0.25,0.0144,0.0021,0.0002,0.0003,10700,1000,2,0.8
4,0.0001,0.0001,0.0000,4,0,2.1405,2,6,400,0.25,0.0269,0.0042,0.0003,0.0004,480400,10000,4,0.7
2,0.0000,,0.0000,8,3,21.1216,2,1,200,0.5,,0.0013,,0.0000,160800,100000,8,1
4,0.0000,0.0000,0.0000,8,8,22.8370,3,8,200,0.25,0.0408,0.0018,0.0002,0.0001,24080600,100000,2,0.5
8,0.0000,,0.0000,8,3,0.0513,1,6,100,0.5,,0.0020,,0.0000,800,600.0,2,1
2,,,0.0000,8,2,0.1513,1,1,400,0.25,,0.0049,,,3200,2400.0,8,
4,0.0000,,0.0000,8,7,2.7280,3,17,100,0.25,,0.0022,,0.0001,3020300,10000,8,1
8,0.0001,0.0000,0.0000,8,8,3.0229,2,8,100,0.5,0.0281,0.0066,0.0004,0.0003,20600,15450.0,4,0.8
8,0.0000,0.0000,0.0000,8,3,22.0474,2,8,200,0.5,0.0191,0.0017,0.0001,0.0001,200600,100000,4,0.5
2,0.0000,,0.0000,8,5,16.4433,2,19,400,0.5,,0.0015,,0.0000,641600,100000,2,1
8,0.0000,0.0000,0.0000,4,0,14.1387,2,4,200,0.75,0.0262,0.3415,0.0001,0.0004,120200,90150.0,4,0.7
8,0.0000,,0.0000,8,5,1.5552,3,12,400,0.75,,0.0020,,0.0000,256161200,10000,4,1
2,,,0.0000,8,8,6.0736,2,1,100,0.25,,0.0721,,,60200,45150.0,8,
8,0.0000,,0.0000,8,6,23.0562,3,12,200,0.5,,0.0015,,0.0000,32080400,100000,4,1
4,,,0.0000,8,4,0.1167,1,12,100,0.75,,0.0041,,,800,600.0,2,
4,,,0.0000,8,2,1.9082,3,15,400,0.75,,0.0081,,,384000800,10000,8,
2,,,0.0000,8,8,0.1404,3,27,100,0.75,,0.0027,,,4020200,1000,4,
2,,,0.0001,8,6,1.2354,3,3,200,0.25,,0.0131,,,24040800,10000,4,
2,0.0000,0.0000,0.0000,8,9,14.9405,2,12,400,0.75,0.0273,0.0015,0.0002,0.0001,482000,100000,8,0.4
4,0.0000,0.0000,0.0000,2,3,0.1448,3,1,400,0.25,0.0134,0.0010,0.0001,0.0001,64160000,1000,2,0.3
8,0.0000,,0.0000,8,2,17.6087,3,12,100,0.75,,0.0020,,0.0000,2020400,100000,4,1
4,0.0000,,0.0000,8,5,1.9519,3,23,400,0.5,,0.0012,,0.0000,128800400,10000,2,1
8,,,0.0000,4,8,0.2145,2,4,200,0.75,,0.0030,,,120200,1000,4,
4,0.0000,0.0000,0.0000,8,4,2.5137,3,15,100,0.75,0.0179,0.0014,0.0001,0.0001,5010200,10000,8,0.2
2,0.0000,,0.0000,8,9,0.1676,2,1,400,0.25,,0.0027,,0.0000,960800,1000,8,1
8,0.0000,0.0000,0.0000,8,7,19.5845,2,26,400,0.5,0.0286,0.0028,0.0002,0.0001,801200,100000,2,0.5
4,,,0.0000,8,6,0.2018,3,15,100,0.5,,0.0083,,,2020400,1000,8,
4,0.0000,0.0000,0.0000,2,2,2.7125,3,1,100,0.75,0.0179,0.0015,0.0002,0.0001,2000000,10000,2,0.4
2,0.0000,0.0000,0.0000,8,4,2.2544,3,21,200,0.5,0.0200,0.0014,0.0002,0.0019,24120400,10000,4,0.1
4,0.0000,,0.0000,8,6,2.2329,3,23,400,0.25,,0.0035,,0.0000,384160400,10000,2,1
4,,,0.0000,8,5,0.3739,1,11,400,0.75,,0.0044,,,3200,2400.0,8,
2,,,0.0000,8,4,1.2795,3,3,100,0.25,,0.0106,,,2050100,10000,4,
4,0.0000,,0.0000,2,0,1.5039,3,1,100,0.5,,0.0014,,0.0000,1010000,10000,2,1
2,,,0.0000,8,0,0.1974,2,1,200,0.5,,0.0065,,,121000,1000,8,
2,0.0000,0.0000,0.0000,8,5,25.2682,3,21,400,0.5,0.0293,0.0015,0.0001,0.0001,128162000,100000,4,0.8
4,0.0000,0.0000,0.0000,4,1,17.0122,3,1,400,0.5,0.0505,0.0016,0.0001,0.0001,128320000,100000,4,0.2
2,0.0000,0.0000,0.0000,8,4,0.1023,2,27,200,0.25,0.0108,0.0008,0.0001,0.0001,200600,1000,2,0.3
2,0.0000,,0.0000,8,9,22.1297,3,3,400,0.25,,0.0013,,0.0000,256480400,100000,4,1
4,0.0002,0.0001,0.0001,8,4,2.6644,3,8,200,0.75,0.0395,0.0021,0.0002,0.0003,16120600,10000,2,0.2
2,0.0000,0.0001,0.0000,8,8,2.7455,3,3,400,0.5,0.0272,0.0021,0.0002,0.0002,256320800,10000,4,0.9
8,0.0000,,0.0000,8,8,0.2270,3,1,400,0.5,,0.0013,,0.0000,320160800,1000,4,1
2,,,0.0000,8,6,0.1566,1,5,400,0.25,,0.0055,,,3200,1000,4,
2,0.0000,0.0000,0.0000,8,8,1.9144,3,28,200,0.5,0.0138,0.0018,0.0001,0.0001,24040800,10000,2,0.7
2,0.0000,,0.0000,8,0,0.1350,3,23,400,0.25,,0.0014,,0.0000,192002000,1000,8,1
8,0.0002,,0.0000,4,6,0.3090,2,4,200,0.25,,0.0031,,0.0002,120200,1000,4,1
2,,,0.0000,8,7,0.1312,1,5,400,0.25,,0.0047,,,3200,1000,8,
2,,,0.0000,8,0,0.0860,1,5,100,0.75,,0.0024,,,800,600.0,4,
8,0.0000,,0.0000,8,7,1.2443,3,1,200,0.25,,0.0008,,0.0000,24080600,10000,4,1
4,,,0.0000,8,0,2.4142,3,17,200,0.25,,0.0087,,,40080200,10000,8,
8,0.0000,0.0000,0.0000,8,0,1.4410,2,26,200,0.75,0.0120,0.0008,0.0001,0.0001,160800,10000,2,0.9
8,0.0000,0.0000,0.0000,8,5,0.2111,2,4,400,0.5,0.0191,0.0014,0.0002,0.0001,960800,1000,8,0.9
4,0.0000,0.0000,0.0000,8,6,1.7415,3,8,400,0.75,0.0119,0.0009,0.0001,0.0001,256161200,10000,2,0.7
2,,,0.0000,8,8,13.5316,2,12,100,0.75,,0.0275,,,70100,52575.0,8,
4,,,0.0000,8,5,0.2909,1,9,400,0.75,,0.0118,,,3200,1000,4,
4,0.0000,0.0000,0.0000,4,3,2.6163,3,1,200,0.75,0.0166,0.0013,0.0001,0.0001,24000200,10000,4,0.4
2,0.0001,0.0000,0.0000,8,5,25.5893,2,19,200,0.75,0.0397,0.0044,0.0002,0.0001,160800,100000,2,0.2
8,,,0.0000,8,2,0.0816,1,6,200,0.25,,0.0031,,,1600,1200.0,2,
2,,,0.0000,8,0,1.0834,2,12,200,0.5,,0.0156,,,121000,10000,8,
4,0.0000,0.0000,0.0000,2,8,22.0579,3,1,100,0.75,0.0247,0.0016,0.0001,0.0001,1010000,100000,2,0.2
2,,,0.0001,8,0,15.5717,2,1,200,0.75,,0.0138,,,121000,90750.0,8,
4,0.0000,0.0000,0.0000,8,8,25.7057,2,17,400,0.75,0.0457,0.0022,0.0002,0.0001,641600,100000,2,0.6
2,0.0000,,0.0000,8,6,0.1189,2,27,100,0.25,,0.0029,,0.0000,60200,1000,2,1
2,,,0.0000,8,4,1.0907,2,16,100,0.25,,0.0574,,,50300,10000,4,
2,0.0000,0.0000,0.0000,8,8,2.9156,3,23,100,0.75,0.0160,0.0012,0.0001,0.0001,4010300,10000,8,0.4
4,0.0000,,0.0000,4,4,0.1204,3,1,400,0.75,,0.0008,,0.0000,128160400,1000,8,1
8,0.0000,,0.0000,8,3,1.3466,3,1,400,0.25,,0.0014,,0.0000,128481200,10000,4,1
8,0.0000,,0.0000,8,8,0.5950,1,3,400,0.5,,0.0027,,0.0000,3200,2400.0,4,1
8,0.0000,0.0000,0.0000,8,8,1.6472,2,20,100,0.75,0.0144,0.0010,0.0001,0.0001,30500,10000,8,0.6
4,0.0000,,0.0000,4,2,1.8829,3,1,200,0.25,,0.0008,,0.0000,24040000,10000,8,1
2,0.0000,,0.0000,4,5,16.3036,2,0,400,0.5,,0.0011,,0.0000,320800,100000,4,1
2,0.0000,,0.0000,8,6,2.8402,1,5,400,0.5,,2.5467,,0.0012,3200,2400.0,8,1
2,,,0.0003,8,5,7.7743,2,16,100,0.5,,0.0494,,,40400,30300.0,4,
2,0.0000,,0.0000,4,8,1.2462,2,0,100,0.75,,0.0007,,0.0000,30100,10000,4,1
8,0.0000,,0.0000,8,4,2.0037,3,12,100,0.5,,0.0020,,0.0001,4040000,10000,4,1
2,,,0.0000,8,7,0.0951,3,3,200,0.25,,0.0028,,,16200200,1000,4,
8,,,0.0000,8,1,16.8744,2,9,200,0.5,,0.0826,,,240400,100000,4,
8,0.0000,0.0000,0.0000,8,6,1.3389,3,1,200,0.5,0.0122,0.0012,0.0001,0.0001,8001400,10000,4,0.6
8,,,0.0000,8,4,0.1448,1,15,200,0.25,,0.0035,,,1600,1000,8,
2,0.0000,0.0000,0.0000,8,8,19.7218,2,19,400,0.75,0.0169,0.0008,0.0001,0.0000,641600,100000,2,0.4
8,0.0000,0.0000,0.0000,8,9,26.6480,3,1,400,0.75,0.0198,0.0010,0.0001,0.0001,192002000,100000,4,0.7
2,0.0000,0.0000,0.0000,8,6,2.3556,2,16,100,0.75,0.0255,0.0013,0.0001,0.0001,50300,10000,4,0.1
2,0.0000,,0.0000,2,1,1.9265,2,0,400,0.25,,0.0022,,0.0000,320000,10000,4,1
2,0.0001,0.0000,0.0000,8,2,22.6817,2,16,400,0.5,0.0447,0.0022,0.0002,0.0001,801200,100000,4,0.5
2,0.0000,0.0000,0.0000,8,4,23.0083,3,22,400,0.5,0.0377,0.0017,0.0002,0.0001,192480800,100000,2,0.8
2,0.0000,,0.0000,8,5,2.4998,3,21,100,0.5,,0.0010,,0.0000,2010500,10000,4,1
4,0.0001,0.0000,0.0000,8,6,27.7078,3,15,200,0.5,0.0329,0.0016,0.0002,0.0001,24080600,100000,2,0.8
8,,,0.0000,8,2,2.7096,3,1,100,0.5,,0.0131,,,4030100,10000,4,
8,,,0.0000,8,8,0.1227,1,22,400,0.25,,0.0029,,,3200,1000,8,
4,0.0000,0.0000,0.0000,8,1,26.3081,2,17,200,0.5,0.0172,0.0010,0.0001,0.0001,160800,100000,2,0.6
2,0.0000,,0.0000,8,5,1.4084,2,19,200,0.25,,0.0014,,0.0000,160800,10000,2,1
2,,,0.0000,2,8,0.1935,2,0,100,0.25,,0.0099,,,20000,1000,4,
8,0.0000,,0.0000,8,5,2.6965,3,1,100,0.75,,0.0033,,0.0000,3050000,10000,4,1
4,0.0000,0.0000,0.0000,8,7,30.9061,3,15,400,0.5,0.0506,0.0019,0.0002,0.0001,320320400,100000,4,0.7
4,0.0000,,0.0000,4,8,0.4540,3,1,200,0.25,,0.0013,,0.0000,8080200,1000,4,1
