maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
4,8,0.0017,3,2010100,4,0.0005,0.2015,0.5,0.9,1000,1,0.0000,0.0001,0.0000,4,100
8,8,0.0026,1,1600,6,0.0006,0.1827,0.75,0.7,1200.0,22,0.0000,0.0002,0.0001,8,200
4,2,0.0023,3,1010000,1,0.0008,2.5641,0.75,0.6,10000,1,0.0000,0.0001,0.0000,2,100
4,2,0.0027,1,800,7,0.0005,0.0871,0.5,1,600.0,12,0.0000,0.0000,0.0000,8,100
8,4,0.0026,3,4020200,1,0.0005,0.1972,0.5,1,1000,12,0.0000,0.0000,0.0000,8,100
4,8,0.0009,3,4020200,8,0.0003,1.6493,0.75,1,10000,15,0.0000,0.0000,0.0000,8,100
4,8,59.9217,1,1600,5,,60.0003,0.25,,1200.0,11,0.0000,,,8,200
2,2,0.0008,2,50300,4,0.0003,2.0458,0.75,1,10000,19,0.0000,0.0000,0.0000,8,100
2,8,0.2004,1,1600,1,,0.4755,0.25,,1200.0,1,0.0000,,,8,200
4,2,59.8021,1,3200,7,,60.0002,0.75,,2400.0,9,0.0000,,,8,400
8,8,0.0179,2,240400,5,,1.3365,0.75,,10000,4,0.0000,,,8,200
2,2,0.0013,3,3030200,0,0.0004,1.7850,0.5,0.2,10000,28,0.0000,0.0000,0.0000,8,100
8,4,0.0085,3,128481200,1,,16.7641,0.25,,100000,1,0.0000,,,8,400
8,8,0.0317,2,322400,9,,1.8549,0.25,,10000,20,0.0000,,,8,400
4,8,0.0028,3,5020100,0,0.0139,3.0194,0.5,0.28,10000,17,0.0000,0.0002,0.0000,8,100
2,2,0.0022,3,3010400,8,0.0006,21.6267,0.75,0.3,100000,28,0.0000,0.0001,0.0000,8,100
4,4,0.0015,3,5020100,7,0.0004,27.6779,0.75,1,100000,15,0.0000,0.0000,0.0000,8,100
2,8,0.0043,1,1600,2,0.0118,0.1968,0.75,0.37,1200.0,5,0.0000,0.0004,0.0001,8,200
8,2,0.0008,2,70100,5,0.0004,0.1055,0.5,1,1000,26,0.0000,0.0000,0.0000,8,100
8,4,39.2603,3,3030200,4,,60.0005,0.25,,100000,1,0.0000,,,8,100
4,2,0.0060,3,16120600,3,0.0010,19.7248,0.25,1,100000,23,0.0001,0.0001,0.0000,8,200
2,8,0.0232,2,280200,8,,2.2134,0.5,,10000,12,0.0000,,,8,200
2,2,0.0032,3,3030200,4,0.0007,36.8041,0.75,1,100000,22,0.0000,0.0001,0.0000,8,100
8,8,0.0028,1,200,9,,0.0186,0.5,,150.0,1,0.0000,,,2,100
2,2,0.0020,3,256161200,2,,0.1007,0.25,,1000,22,0.0000,,,8,400
4,4,0.2482,2,40600,8,,7.4064,0.75,,30450.0,6,0.0000,,,4,200
8,4,0.0014,3,128321600,2,0.0004,26.8225,0.75,0.8,100000,12,0.0000,0.0001,0.0000,8,400
2,8,0.0020,3,3000500,0,0.0005,28.6389,0.75,0.9,100000,23,0.0000,0.0001,0.0000,8,100
2,4,0.0010,3,16160400,8,0.0003,2.3440,0.75,0.1,10000,21,0.0000,0.0000,0.0000,8,200
2,4,0.0012,2,480400,2,0.0004,23.7518,0.25,1,100000,0,0.0000,0.0000,0.0000,4,400
4,2,0.0013,3,192161600,2,0.0004,21.1425,0.25,1,100000,8,0.0000,0.0000,0.0000,8,400
2,4,0.0015,3,16041000,5,0.0005,2.8746,0.5,0.6,10000,21,0.0000,0.0001,0.0000,8,200
2,4,0.0020,2,200600,6,0.0007,2.7048,0.75,0.5,10000,16,0.0000,0.0001,0.0000,8,200
8,4,0.0010,2,120200,6,0.0004,17.6527,0.5,1,90150.0,4,0.0000,0.0000,0.0000,4,200
8,8,0.0013,2,320000,8,0.0005,0.1669,0.25,1,1000,4,0.0000,0.0000,0.0000,8,200
4,8,0.0021,3,16040200,4,0.0007,0.3971,0.5,1,1000,1,0.0000,0.0001,0.0000,4,200
2,2,0.0038,2,200600,2,0.0007,0.2813,0.25,1,1000,19,0.0000,0.0001,0.0000,8,200
2,4,0.0015,3,24080600,6,0.0004,30.4197,0.75,0.5,100000,21,0.0000,0.0001,0.0000,8,200
4,2,0.0022,3,24080600,1,0.0008,0.3674,0.75,0.2,1000,23,0.0000,0.0002,0.0001,8,200
4,2,0.0013,3,1010000,3,0.0005,0.3826,0.75,0.4,1000,1,0.0000,0.0001,0.0000,2,100
4,2,0.0024,2,40400,8,0.0005,0.1909,0.75,1,1000,17,0.0000,0.0000,0.0000,8,100
8,4,0.0035,1,1600,7,0.0127,0.1858,0.5,0.307,1200.0,10,0.0000,0.0004,0.0001,8,200
2,4,0.0009,3,256161200,3,0.0003,29.2370,0.5,1,100000,27,0.0000,0.0000,0.0000,8,400
4,8,0.0018,3,3010400,9,0.0004,26.9335,0.25,1,100000,17,0.0000,0.0000,0.0000,8,100
8,8,0.0019,1,800,8,,0.0556,0.75,,600.0,15,0.0000,,,8,100
4,8,0.0015,3,3010000,7,0.0004,28.0216,0.5,0.4,100000,1,0.0000,0.0001,0.0000,4,100
4,8,0.0684,3,192321200,7,,17.4212,0.5,,100000,17,0.0001,,,8,400
8,8,0.3303,1,3200,2,,0.4875,0.5,,2400.0,8,0.0000,,,8,400
4,2,0.3054,1,1600,8,,0.3852,0.25,829.,1200.0,12,0.0000,,,8,200
2,4,0.0016,2,200600,2,0.0006,1.1022,0.25,0.2,10000,16,0.0000,0.0001,0.0000,8,200
8,8,0.3680,2,200600,5,,21.4850,0.25,,100000,20,0.0000,,,8,200
2,4,0.0014,3,40080200,0,0.0005,4.1575,0.5,1,10000,27,0.0000,0.0000,0.0000,8,200
4,4,0.0025,3,2020000,2,0.0008,2.5183,0.5,0.1,10000,1,0.0000,0.0002,0.0001,4,100
2,8,0.0014,2,960800,7,0.0006,0.1846,0.75,0.9,1000,12,0.0000,0.0001,0.0000,8,400
