maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
2,8,0.0029,1,3200,0,0.0003,0.1770,0.25,1,2400.0,5,0.0000,0.0000,0.0000,8,400
2,2,0.0022,2,801200,0,0.0007,0.2727,0.25,1,1000,27,0.0000,0.0001,0.0000,8,400
4,4,0.0035,2,10300,5,,1.7536,0.75,,7725.0,6,0.0000,,,4,100
4,2,0.2812,1,3200,3,0.0004,0.4247,0.5,1,1000,9,0.0000,0.0004,0.0000,8,400
4,2,0.0021,3,24080600,1,0.0007,1.7470,0.5,1,10000,23,0.0000,0.0001,0.0000,8,200
4,2,0.0021,3,1040300,7,0.0005,26.7570,0.25,1,100000,15,0.0000,0.0000,0.0000,8,100
4,2,0.0012,3,16160400,3,0.0005,24.0904,0.25,1,100000,8,0.0000,0.0000,0.0000,8,200
8,8,0.0069,1,1600,2,,0.2772,0.75,,1200.0,20,0.0000,,,8,200
2,2,0.0013,3,3030200,4,0.0005,2.6844,0.75,1,10000,28,0.0000,0.0000,0.0000,8,100
2,2,0.0018,2,60200,5,0.0006,11.1164,0.25,1,45150.0,27,0.0000,0.0000,0.0000,8,100
2,8,0.0021,2,41400,5,0.0008,2.4047,0.5,0.1,10000,1,0.0000,0.0001,0.0000,8,200
4,2,0.0099,1,1600,7,,0.2029,0.75,,1000,5,0.0000,,,4,400
4,4,0.0010,2,40000,3,0.0003,6.7563,0.5,1,30000.0,6,0.0000,0.0000,0.0000,4,100
2,4,0.0021,3,256161200,3,0.0016,2.0248,0.25,1,10000,27,0.0000,0.0002,0.0001,8,400
4,4,0.0033,1,800,7,,0.0991,0.75,,600.0,9,0.0000,,,8,100
4,2,0.0024,2,40400,8,0.0008,2.5785,0.75,0.1,10000,17,0.0000,0.0001,0.0000,8,100
2,4,0.0019,3,3020300,0,0.0006,3.1142,0.75,0.8,10000,3,0.0000,0.0004,0.0001,8,100
8,4,0.0135,3,192480800,7,,0.3042,0.5,,1000,12,0.0000,,,8,400
2,4,0.0021,2,50300,0,0.0007,10.2098,0.75,0.9,37725.0,16,0.0000,0.0001,0.0000,8,100
4,2,0.0077,1,1600,5,,0.1739,0.25,,1200.0,12,0.0000,,,8,200
2,4,0.0024,3,32120200,5,0.0008,29.0231,0.75,0.5,100000,27,0.0000,0.0002,0.0000,8,200
4,4,0.0027,3,128000800,4,0.0008,31.2898,0.5,0.3,100000,1,0.0000,0.0001,0.0000,4,400
8,4,0.0039,1,3200,7,,0.1529,0.5,,1000,10,0.0000,,,8,400
4,4,0.0022,1,3200,1,0.0005,0.1412,0.5,0.9,1000,9,0.0000,0.0002,0.0000,8,400
4,2,0.0008,3,4010300,8,0.0003,2.5894,0.75,0.1,10000,15,0.0000,0.0000,0.0000,8,100
8,8,0.1257,2,641600,4,,0.2316,0.25,,1000,4,0.0000,,,8,400
4,4,0.0009,3,16000400,4,0.0003,0.1273,0.5,1,1000,1,0.0000,0.0000,0.0000,4,200
2,4,0.0013,3,320320400,0,0.0005,30.4703,0.75,0.5,100000,27,0.0000,0.0001,0.0000,8,400
2,4,0.0009,2,320800,9,0.0003,0.1039,0.5,0.5,1000,0,0.0000,0.0000,0.0000,4,400
2,4,2.2418,3,256320800,8,0.0003,27.9990,0.25,1,100000,3,0.0000,0.0004,0.0000,8,400
8,4,0.0028,2,30100,4,0.0006,3.7357,0.75,0.3,22575.0,4,0.0000,0.0003,0.0001,4,100
4,8,0.0034,3,24080600,1,0.0007,21.0431,0.5,0.4,100000,15,0.0000,0.0001,0.0000,8,200
2,8,0.0047,1,1600,1,,0.2011,0.5,,1000,1,0.0000,,,8,200
2,4,0.0075,3,32040600,2,,3.2914,0.75,,10000,21,0.0000,,,8,200
8,4,0.0140,1,3200,8,,0.4409,0.75,,2400.0,3,0.0000,,,8,400
8,8,0.0044,1,800,3,,0.1862,0.75,,600.0,8,0.0000,,,8,100
4,4,0.0009,3,24160200,0,0.0003,19.9959,0.5,0.7,100000,15,0.0000,0.0001,0.0000,8,200
2,2,0.0019,2,200600,0,0.0003,18.7330,0.5,1,100000,27,0.0000,0.0000,0.0000,8,200
2,8,0.0040,2,160800,3,,0.1159,0.5,,1000,12,0.0001,,,8,200
2,4,0.0024,2,80400,6,0.0008,2.8496,0.75,0.9,10000,0,0.0000,0.0001,0.0001,4,200
8,8,0.0048,2,160800,0,,0.1767,0.5,,1000,4,0.0000,,,8,200
8,4,0.0023,3,4020200,0,0.0007,2.9797,0.5,0.6,10000,1,0.0000,0.0001,0.0000,8,100
2,8,0.0038,1,1600,8,0.0005,0.1698,0.5,0.8,1200.0,5,0.0000,0.0002,0.0000,8,200
4,2,0.0015,3,6010100,6,0.0005,31.4360,0.75,0.6,100000,23,0.0000,0.0001,0.0000,8,100
2,8,0.0010,3,48080000,3,0.0003,0.1028,0.25,1,1000,23,0.0000,0.0000,0.0000,8,200
4,2,0.0023,3,64160000,0,0.0007,21.1789,0.75,1,100000,1,0.0000,0.0000,0.0000,2,400
4,2,0.0009,3,8040000,0,0.0003,0.9861,0.25,1,10000,1,0.0000,0.0000,0.0000,2,200
4,4,0.0014,3,3000100,7,0.0005,1.5457,0.25,1,10000,1,0.0000,0.0000,0.0000,4,100
4,8,0.0009,3,3030200,4,0.0004,1.3175,0.25,0.9,10000,17,0.0000,0.0001,0.0000,8,100
8,4,0.0024,1,3200,6,,0.0773,0.5,,1000,3,0.0000,,,8,400
8,8,0.0033,1,1600,3,,0.0714,0.25,,1000,20,0.0000,,,8,200
2,2,0.0013,2,801200,3,0.0005,1.6722,0.75,1,10000,19,0.0000,0.0000,0.0000,8,400
2,8,0.0033,1,3200,5,,0.1637,0.25,,1000,5,0.0000,,,8,400
2,2,0.0008,3,320320400,7,0.0003,1.2972,0.5,1,10000,28,0.0000,0.0001,0.0000,8,400
8,4,0.0009,3,32080400,8,0.0004,0.1105,0.5,1,1000,12,0.0000,0.0000,0.0000,8,200
8,8,0.0019,1,1600,8,,0.1263,0.75,,1200.0,22,0.0000,,,8,200
8,4,0.0327,2,200600,7,,1.5249,0.25,,10000,8,0.0000,,,8,200
8,4,0.0091,3,4020200,0,,0.2115,0.5,,1000,1,0.0000,,,8,100
8,4,0.0118,2,81200,0,,1.0690,0.5,,10000,9,0.0000,,,8,200
2,4,0.0016,2,200600,9,0.0003,0.0833,0.25,1,1000,16,0.0000,0.0000,0.0000,8,200
8,4,0.0014,3,4020200,0,0.0006,0.1122,0.25,0.7,1000,1,0.0000,0.0002,0.0000,8,100
2,4,0.0059,3,32040600,7,,0.2115,0.75,,1000,21,0.0000,,,8,200
4,2,0.0024,3,256161200,6,0.0015,17.3247,0.25,1,100000,8,0.0000,0.0001,0.0001,8,400
8,4,0.0057,2,160800,7,0.0008,1.9036,0.25,1,10000,9,0.0000,0.0001,0.0000,8,200
2,4,0.0015,2,40400,5,0.0005,1.9887,0.25,1,10000,16,0.0000,0.0000,0.0000,8,100
2,8,0.0416,2,80000,6,,14.6915,0.5,,60000.0,1,0.0000,,,8,100
8,4,0.0029,2,30500,2,,0.1030,0.75,,1000,8,0.0000,,,8,100
2,2,0.0018,2,160800,5,0.0006,20.6403,0.5,0.3,100000,19,0.0000,0.0001,0.0000,8,200
2,4,0.0009,2,200600,2,0.0003,16.7297,0.75,1,100000,16,0.0000,0.0000,0.0000,8,200
4,8,0.0110,3,128160400,8,,1.6645,0.5,,10000,1,0.0000,,,4,400
4,2,0.0027,2,641600,8,,0.0834,0.25,,1000,17,0.0000,,,8,400
2,8,0.0027,1,1600,2,,0.0702,0.25,,1000,1,0.0000,,,8,200
8,8,0.0020,1,1600,5,,0.0760,0.25,,1200.0,20,0.0000,,,8,200
4,2,0.0013,3,192480800,1,0.0005,0.1660,0.25,1,1000,8,0.0000,0.0000,0.0000,8,400
4,8,0.0010,3,192321200,3,0.0004,1.1369,0.25,1,10000,15,0.0000,0.0000,0.0000,8,400
2,2,0.0007,2,240400,5,0.0003,14.8481,0.5,1,100000,27,0.0000,0.0000,0.0000,8,200
2,8,0.0017,3,24120400,5,0.0006,15.4734,0.5,1,100000,23,0.0000,0.0000,0.0000,8,200
2,8,0.0045,2,30500,0,,5.2198,0.75,,22875.0,1,0.0000,,,8,100
8,4,0.0015,3,24000200,4,0.0005,0.2661,0.75,0.1,1000,6,0.0000,0.0001,0.0000,4,200
4,4,0.0035,1,1600,4,,0.1720,0.25,,1200.0,9,0.0000,,,8,200
2,4,0.0010,3,4010300,3,0.0004,0.1406,0.75,0.4,1000,27,0.0000,0.0001,0.0000,8,100
4,2,0.2428,1,1600,0,0.2089,0.9720,0.5,1,1200.0,12,0.0000,0.0738,0.0611,8,200
4,2,0.0012,3,8000200,9,0.0004,0.1483,0.75,0.1,1000,1,0.0000,0.0002,0.0000,2,200
4,4,0.0014,2,30100,0,0.0005,0.2139,0.75,0.6,1000,6,0.0000,0.0001,0.0000,4,100
2,4,0.0015,2,80400,9,0.0005,12.9753,0.5,0.2,60300.0,0,0.0000,0.0001,0.0000,4,200
8,8,0.1002,1,800,5,,0.1993,0.5,,600.0,22,0.0000,,,8,100
4,8,0.0105,3,16080800,6,,1.5959,0.25,,10000,15,0.0000,,,8,200
2,8,0.0011,3,192480800,5,0.0005,1.2812,0.5,0.9,10000,23,0.0000,0.0001,0.0000,8,400
4,8,44.2569,3,192321200,1,,60.0003,0.75,,100000,15,0.0000,,,8,400
4,4,0.0014,3,24000200,3,0.0005,0.2204,0.5,0.3,1000,1,0.0000,0.0001,0.0000,4,200
2,8,0.0010,2,960800,4,0.0003,15.0773,0.25,1,100000,1,0.0000,0.0000,0.0000,8,400
4,4,0.0011,3,192480800,4,0.0004,1.3821,0.75,0.5,10000,15,0.0000,0.0001,0.0000,8,400
8,8,0.0011,2,240400,3,0.0004,1.4254,0.75,0.1,10000,4,0.0000,0.0001,0.0000,8,200
4,4,0.0079,2,20200,6,,0.1013,0.25,,1000,6,0.0000,,,4,100
2,8,0.0034,3,256161200,8,,1.4783,0.75,,10000,23,0.0000,,,8,400
4,2,0.0012,3,2010500,0,0.0004,1.3095,0.5,1,10000,15,0.0000,0.0000,0.0000,8,100
4,2,0.0010,3,16000000,2,0.0004,0.1448,0.5,1,1000,1,0.0000,0.0000,0.0000,2,200
4,4,0.0038,1,3200,6,,0.0991,0.75,,1000,9,0.0000,,,8,400
8,8,0.0785,2,200600,5,,19.9553,0.5,,100000,20,0.0000,,,8,200
8,4,0.0031,2,60200,6,,2.0936,0.75,,10000,9,0.0000,,,8,100
4,8,0.0015,3,32120200,0,0.0005,2.3447,0.75,0.4,10000,15,0.0000,0.0001,0.0000,8,200
4,2,0.0035,2,121000,6,0.0004,0.1720,0.5,1,1000,17,0.0000,0.0000,0.0000,8,200
2,2,0.0015,2,121000,0,0.0006,2.2232,0.75,0.4,10000,19,0.0000,0.0002,0.0000,8,200
4,2,0.0010,2,641600,7,0.0004,22.6457,0.75,1,100000,17,0.0000,0.0000,0.0000,8,400
2,4,0.0147,2,40400,1,,2.0090,0.5,,10000,16,0.0000,,,8,100
4,8,0.0017,3,24120400,5,0.0007,19.9565,0.25,0.6,100000,17,0.0000,0.0001,0.0000,8,200
2,4,0.0014,2,200600,6,0.0005,0.1950,0.5,0.4,1000,16,0.0000,0.0001,0.0000,8,200
8,8,0.0033,1,1600,9,,0.1725,0.25,,1200.0,15,0.0000,,,8,200
4,2,0.0036,1,3200,5,,0.2847,0.75,,2400.0,12,0.0000,,,8,400
8,4,0.2205,2,120200,0,0.0005,0.4437,0.75,0.1,1000,4,0.0000,0.0003,0.0000,4,200
2,2,0.0014,3,256161200,5,0.0006,2.0048,0.25,0.4,10000,28,0.0000,0.0001,0.0000,8,400
4,2,0.0015,3,64000400,7,0.0005,2.0726,0.25,1,10000,1,0.0000,0.0000,0.0000,2,400
8,4,0.0036,2,801200,0,,0.2248,0.75,,1000,8,0.0000,,,8,400
8,8,0.0021,2,60200,3,0.0008,11.9698,0.5,0.2,45150.0,4,0.0000,0.0002,0.0000,8,100
4,2,0.0029,3,192480800,7,0.0004,2.4603,0.75,0.6,10000,23,0.0000,0.0002,0.0000,8,400
4,8,0.0020,3,192000400,3,0.0005,37.6791,0.25,1,100000,1,0.0001,0.0000,0.0000,4,400
8,4,0.0069,1,3200,4,,0.2392,0.75,,1000,10,0.0000,,,8,400
4,2,0.0022,3,128162000,0,0.0006,41.8269,0.5,0.1,100000,15,0.0000,0.0001,0.0000,8,400
2,4,0.0026,2,40200,6,0.0004,0.2288,0.75,0.2,1000,0,0.0000,0.0001,0.0000,2,200
4,2,0.0048,2,40400,3,0.0006,11.4270,0.75,0.9,30300.0,17,0.0001,0.0001,0.0000,8,100
4,2,0.0020,3,24040800,2,0.0007,37.9778,0.25,1,100000,8,0.0000,0.0000,0.0000,8,200
8,4,0.0104,2,40400,2,,0.2516,0.75,,1000,9,0.0000,,,8,100
8,4,0.0017,3,3030200,7,0.0006,3.5949,0.25,1,10000,12,0.0000,0.0000,0.0000,8,100
8,8,0.0227,1,800,9,,0.1553,0.25,,600.0,1,0.0000,,,2,400
8,8,59.5300,1,3200,8,,60.0016,0.5,,2400.0,20,0.0000,,,8,400
4,4,0.0614,1,3200,0,,0.9536,0.25,,2400.0,9,0.0000,,,8,400
4,8,0.5227,3,64000000,9,0.5981,2.9527,0.75,1,1000,15,0.0000,0.2230,0.2235,8,200
2,2,0.0022,2,801200,4,0.0029,36.4348,0.75,0.5,100000,27,0.0000,0.0003,0.0003,8,400
8,8,0.0016,2,482000,8,0.0008,0.3391,0.25,0.2,1000,20,0.0000,0.0001,0.0000,8,400
4,2,0.0013,3,192321200,1,0.0003,27.1522,0.5,1,100000,23,0.0000,0.0000,0.0000,8,400
4,2,0.0015,3,4020200,0,0.0006,3.7743,0.75,1,10000,23,0.0000,0.0000,0.0000,8,100
8,4,0.0141,2,801200,6,0.0011,0.2407,0.25,1,1000,8,0.0003,0.0005,0.0003,8,400
2,8,0.0009,2,160800,5,0.0003,27.9151,0.5,0.9,100000,12,0.0000,0.0000,0.0000,8,200
4,2,0.0076,3,192321200,1,0.0006,3.4082,0.5,0.9,10000,23,0.0002,0.0001,0.0000,8,400
2,8,0.0058,1,800,2,,0.2575,0.75,,600.0,5,0.0000,,,8,100
2,2,0.0032,3,40040400,0,0.0012,0.3321,0.75,0.1,1000,22,0.0000,0.0001,0.0000,8,200
2,4,0.0131,2,801200,0,,2.8418,0.5,,10000,16,0.0000,,,8,400
2,4,0.0257,2,641600,5,,3.3410,0.75,,10000,16,0.0000,,,8,400
2,2,0.0056,3,2020400,6,,3.3747,0.25,,10000,22,0.0000,,,8,100
4,4,0.0016,3,2020000,1,0.0006,0.3719,0.75,0.2,1000,1,0.0000,0.0001,0.0000,4,100
2,2,0.0040,2,50300,2,,0.2732,0.5,,1000,27,0.0000,,,8,100
2,2,0.0022,3,24120400,9,0.0004,3.1074,0.5,1,10000,22,0.0000,0.0000,0.0000,8,200
4,2,0.0023,3,192321200,3,0.0010,37.1319,0.5,0.5,100000,15,0.0000,0.0001,0.0000,8,400
4,2,0.0020,3,56000200,5,0.0031,0.7370,0.25,1,1000,8,0.0000,0.0001,0.0003,8,200
2,4,0.0017,3,4010300,6,0.0029,0.3457,0.25,1,1000,27,0.0000,0.0002,0.0003,8,100
4,4,0.0043,1,3200,0,,0.2013,0.5,,1000,9,0.0000,,,8,400
4,2,0.0011,3,8000200,9,0.0004,0.5061,0.5,1,1000,1,0.0000,0.0000,0.0000,2,200
4,2,0.0030,3,40120000,2,0.0007,0.4015,0.5,1,1000,23,0.0000,0.0002,0.0003,8,200
2,8,0.4613,2,60200,9,,17.3155,0.5,,45150.0,1,0.0000,,,8,100
8,2,0.0123,1,800,6,,0.1863,0.75,,600.0,6,0.0000,,,8,100
2,2,0.0030,2,10700,9,0.0006,0.2650,0.25,0.8,1000,19,0.0000,0.0003,0.0000,8,100
4,4,0.0035,2,480400,0,0.0006,2.8356,0.25,0.7,10000,6,0.0001,0.0003,0.0001,4,400
2,8,0.0022,2,160800,3,0.0006,31.0106,0.5,1,100000,1,0.0000,0.0000,0.0000,8,200
4,2,0.0021,3,24080600,8,0.0005,35.1035,0.25,0.5,100000,8,0.0000,0.0001,0.0000,8,200
8,2,0.0087,1,800,3,0.0005,0.1573,0.5,1,600.0,6,0.0000,0.0000,0.0000,8,100
2,8,0.0102,1,3200,2,,0.7742,0.25,,2400.0,1,0.0000,,,8,400
4,8,0.0017,3,3020300,7,0.0005,3.4805,0.25,1,10000,17,0.0000,0.0000,0.0000,8,100
8,4,0.0056,2,20600,8,0.0417,4.3338,0.5,0.8,15450.0,8,0.0000,0.0003,0.0001,8,100
8,4,0.0091,2,200600,3,0.0007,32.1557,0.5,0.5,100000,8,0.0000,0.0002,0.0000,8,200
2,2,0.0016,2,641600,5,0.0011,32.6036,0.5,1,100000,19,0.0000,0.0001,0.0001,8,400
8,4,0.5558,2,120200,0,0.0006,33.3870,0.75,0.7,90150.0,4,0.0000,0.0005,0.0000,4,200
8,4,0.0063,3,256161200,5,0.0007,4.2058,0.75,1,10000,12,0.0000,0.0003,0.0000,8,400
2,8,0.0979,2,60200,8,,12.5392,0.25,,45150.0,1,0.0001,,,8,100
8,4,0.0022,3,32080400,6,0.0006,39.1039,0.5,1,100000,12,0.0000,0.0000,0.0000,8,200
4,2,0.0050,1,800,4,,0.1513,0.75,,600.0,12,0.0000,,,8,100
4,8,0.0206,3,384000800,2,,4.1415,0.75,,10000,15,0.0002,,,8,400
2,4,0.0111,3,4020200,8,,0.3617,0.75,,1000,27,0.0002,,,8,100
2,4,0.0274,3,24040800,6,,3.1492,0.25,,10000,3,0.0000,,,8,200
2,8,0.0075,2,482000,9,0.0007,34.6081,0.75,0.4,100000,12,0.0002,0.0006,0.0001,8,400
4,2,0.0017,3,64160000,3,0.0008,0.3069,0.25,0.3,1000,1,0.0001,0.0001,0.0000,2,400
8,4,0.0027,3,2020400,2,0.0005,41.5029,0.75,1,100000,12,0.0000,0.0000,0.0000,8,100
4,2,0.0015,3,128800400,5,0.0005,3.2893,0.5,1,10000,23,0.0000,0.0000,0.0000,8,400
8,4,0.0033,2,120200,8,,0.2895,0.75,,1000,4,0.0000,,,4,200
4,8,0.0018,3,5010200,4,0.0006,3.8585,0.75,0.2,10000,15,0.0000,0.0001,0.0001,8,100
2,8,0.0031,2,960800,9,0.0005,0.2511,0.25,1,1000,1,0.0000,0.0000,0.0000,8,400
8,2,0.0033,2,801200,7,0.0006,30.0379,0.5,0.5,100000,26,0.0000,0.0001,0.0000,8,400
4,8,0.0198,3,2020400,6,,0.4072,0.5,,1000,15,0.0000,,,8,100
4,2,0.0022,3,2000000,2,0.0006,4.2013,0.75,0.4,10000,1,0.0000,0.0001,0.0000,2,100
2,4,0.0081,3,24120400,4,0.0006,3.3481,0.5,0.1,10000,21,0.0002,0.0022,0.0000,8,200
4,2,0.0129,3,384160400,6,0.0004,3.3203,0.25,1,10000,23,0.0001,0.0000,0.0000,8,400
4,8,0.0140,1,3200,5,,0.6093,0.75,,2400.0,11,0.0002,,,8,400
2,4,0.0279,3,2050100,4,,3.2634,0.25,,10000,3,0.0000,,,8,100
4,2,0.0047,3,1010000,0,0.0006,3.9926,0.5,1,10000,1,0.0000,0.0000,0.0001,2,100
2,8,0.0456,2,121000,0,,0.4876,0.5,,1000,1,0.0000,,,8,200
2,4,0.0018,3,128162000,5,0.0006,36.0741,0.5,0.8,100000,21,0.0000,0.0001,0.0000,8,400
4,4,0.0021,3,128320000,1,0.0005,38.6609,0.5,0.2,100000,1,0.0000,0.0001,0.0000,4,400
2,2,0.0015,2,200600,4,0.0005,0.2471,0.25,0.3,1000,27,0.0000,0.0001,0.0000,8,200
2,4,0.0015,3,256480400,9,0.0005,34.1354,0.25,1,100000,3,0.0000,0.0000,0.0000,8,400
4,2,0.0079,3,16120600,4,0.0009,3.5842,0.75,0.2,10000,8,0.0002,0.0002,0.0001,8,200
2,4,0.0015,3,256320800,8,0.0006,3.4142,0.5,0.9,10000,3,0.0000,0.0001,0.0000,8,400
8,4,0.0023,3,320160800,8,0.0006,0.3792,0.5,1,1000,1,0.0000,0.0001,0.0001,8,400
2,4,0.0164,1,3200,6,,0.1653,0.25,,1000,5,0.0001,,,8,400
2,2,0.0040,3,24040800,8,0.0029,4.1744,0.5,0.7,10000,28,0.0000,0.0003,0.0001,8,200
2,8,0.0016,3,192002000,0,0.0005,0.2915,0.25,1,1000,23,0.0001,0.0000,0.0000,8,400
8,4,0.0082,2,120200,6,0.0008,0.3042,0.25,1,1000,4,0.0001,0.0002,0.0002,4,200
2,8,0.0063,1,3200,7,,0.2366,0.25,,1000,5,0.0000,,,8,400
2,4,0.0068,1,800,0,,0.1897,0.75,,600.0,5,0.0000,,,8,100
8,4,0.0015,3,24080600,7,0.0005,3.3324,0.25,1,10000,1,0.0000,0.0000,0.0000,8,200
4,8,0.0090,3,40080200,0,,3.7125,0.25,,10000,17,0.0000,,,8,200
8,2,0.0059,2,160800,0,0.0006,3.1812,0.75,0.9,10000,26,0.0002,0.0001,0.0000,8,200
8,8,0.0097,2,960800,5,0.0009,0.2725,0.5,0.9,1000,4,0.0003,0.0002,0.0001,8,400
4,2,0.0022,3,256161200,6,0.0006,3.2656,0.75,0.7,10000,8,0.0000,0.0001,0.0000,8,400
2,8,0.0764,2,70100,8,,17.3723,0.75,,52575.0,12,0.0000,,,8,100
4,4,0.0341,1,3200,5,,0.3763,0.75,,1000,9,0.0000,,,8,400
4,4,0.0019,3,24000200,3,0.0006,4.1282,0.75,0.4,10000,1,0.0000,0.0002,0.0001,4,200
2,2,0.0051,2,160800,5,0.0005,32.6680,0.75,0.2,100000,19,0.0000,0.0001,0.0000,8,200
8,2,0.0032,1,1600,2,,0.1844,0.25,,1200.0,6,0.0000,,,8,200
2,8,0.0259,2,121000,0,,5.0128,0.5,,10000,12,0.0000,,,8,200
4,2,0.0029,3,1010000,8,0.0006,41.4192,0.75,0.2,100000,1,0.0000,0.0001,0.0000,2,100
2,8,0.0104,2,121000,0,,29.2328,0.75,,90750.0,1,0.0000,,,8,200
4,2,0.0073,2,641600,8,0.0009,35.1426,0.75,0.6,100000,17,0.0001,0.0007,0.0001,8,400
2,2,0.0021,2,60200,6,0.0004,0.3423,0.25,1,1000,27,0.0000,0.0000,0.0000,8,100
2,4,0.1250,2,50300,4,,2.6513,0.25,,10000,16,0.0001,,,8,100
2,8,0.0031,3,4010300,8,0.0010,4.8936,0.75,0.4,10000,23,0.0001,0.0002,0.0001,8,100
4,8,0.0014,3,128160400,4,0.0006,0.3429,0.75,1,1000,1,0.0000,0.0000,0.0000,4,400
8,4,0.0024,3,128481200,3,0.0020,3.1897,0.25,1,10000,1,0.0000,0.0002,0.0001,8,400
8,4,0.0041,1,3200,8,0.0006,0.7981,0.5,1,2400.0,3,0.0000,0.0000,0.0000,8,400
8,8,0.0017,2,30500,8,0.0006,3.4093,0.75,0.6,10000,20,0.0000,0.0001,0.0000,8,100
4,8,0.0018,3,24040000,2,0.0008,3.4633,0.25,1,10000,1,0.0000,0.0000,0.0000,4,200
2,4,0.0014,2,320800,5,0.0005,31.8047,0.5,1,100000,0,0.0000,0.0000,0.0000,4,400
2,8,2.8722,1,3200,6,0.0005,3.2999,0.5,1,2400.0,5,0.0000,0.0010,0.0000,8,400
2,4,0.0438,2,40400,5,,9.6709,0.5,,30300.0,16,0.0001,,,8,100
2,4,0.0012,2,30100,8,0.0005,3.2144,0.75,1,10000,0,0.0000,0.0000,0.0000,4,100
8,4,0.0033,3,4040000,4,0.0009,3.5801,0.5,1,10000,12,0.0000,0.0001,0.0001,8,100
2,4,0.0042,3,16200200,7,,0.2266,0.25,,1000,3,0.0000,,,8,200
8,4,0.2420,2,240400,1,,33.0038,0.5,,100000,9,0.0000,,,8,200
8,4,0.0020,3,8001400,6,0.0004,3.3289,0.5,0.6,10000,1,0.0000,0.0001,0.0000,8,200
8,8,0.0042,1,1600,4,,0.1676,0.25,,1000,15,0.0000,,,8,200
2,2,0.0017,2,641600,8,0.0007,33.2002,0.75,0.4,100000,19,0.0000,0.0001,0.0000,8,400
8,4,0.0014,3,192002000,9,0.0005,42.7770,0.75,0.7,100000,1,0.0000,0.0001,0.0000,8,400
2,4,0.0089,2,50300,6,0.0008,3.5859,0.75,0.1,10000,16,0.0002,0.0004,0.0001,8,100
2,4,0.0015,2,320000,1,0.0006,2.9063,0.25,1,10000,0,0.0001,0.0000,0.0000,2,400
2,4,0.0015,2,801200,2,0.0006,29.6416,0.5,0.5,100000,16,0.0000,0.0001,0.0001,8,400
2,2,0.0083,3,192480800,4,0.0007,36.3166,0.5,0.8,100000,22,0.0002,0.0002,0.0000,8,400
2,4,0.0029,3,2010500,5,0.0019,3.4563,0.5,1,10000,21,0.0000,0.0003,0.0003,8,100
4,2,0.0016,3,24080600,6,0.0006,36.9942,0.5,0.8,100000,15,0.0000,0.0001,0.0000,8,200
8,4,0.0140,3,4030100,2,,4.3135,0.5,,10000,1,0.0000,,,8,100
8,8,0.0040,1,3200,8,,0.2033,0.25,,1000,22,0.0000,,,8,400
4,2,0.0043,2,160800,1,0.0008,33.2053,0.5,0.6,100000,17,0.0000,0.0001,0.0000,8,200
2,2,0.0019,2,160800,5,0.0005,1.8544,0.25,1,10000,19,0.0000,0.0000,0.0000,8,200
2,4,0.0140,2,20000,8,,0.2728,0.25,,1000,0,0.0000,,,2,100
8,4,0.0037,3,3050000,5,0.0004,3.2636,0.75,1,10000,1,0.0000,0.0000,0.0000,8,100
4,4,0.0019,3,320320400,7,0.0006,35.0390,0.5,0.7,100000,15,0.0000,0.0001,0.0000,8,400
4,4,0.0013,3,8080200,8,0.0005,0.2649,0.25,1,1000,1,0.0000,0.0000,0.0000,4,200
4,4,0.0185,2,10300,8,,0.3138,0.75,,1000,6,0.0000,,,4,100
8,4,0.0091,2,322400,8,0.0006,0.2972,0.75,0.4,1000,8,0.0000,0.0001,0.0000,8,400
4,4,0.0018,3,256320800,5,0.0007,0.3017,0.5,0.7,1000,15,0.0000,0.0001,0.0000,8,400
8,8,0.0033,1,3200,2,,0.2275,0.75,,1000,20,0.0000,,,8,400
4,2,0.0018,2,801200,0,0.0005,2.9089,0.75,0.9,10000,17,0.0000,0.0002,0.0000,8,400
8,4,0.0015,3,64002800,6,0.0005,3.2898,0.5,1,10000,1,0.0000,0.0000,0.0000,8,400
2,8,0.0038,1,1600,8,0.0222,0.2017,0.25,0.6,1000,1,0.0000,0.0002,0.0000,8,200
8,4,0.0013,3,32160000,4,0.0004,2.3594,0.75,1,10000,12,0.0000,0.0000,0.0000,8,200
4,2,0.9260,2,482000,4,2.7697,9.1644,0.5,1,10000,17,0.0000,0.7206,0.6198,8,400
4,2,0.0043,3,1010000,1,0.0027,28.6017,0.5,1,100000,1,0.0000,0.0001,0.0000,2,100
4,2,0.0019,3,24080600,3,0.0005,29.8429,0.25,1,100000,15,0.0000,0.0000,0.0000,8,200
2,8,0.0031,3,256320800,1,0.0005,2.1814,0.25,1,10000,23,0.0000,0.0000,0.0000,8,400
8,4,0.0020,3,64002800,6,0.0006,2.8999,0.25,0.9,10000,1,0.0000,0.0001,0.0000,8,400
8,8,0.0015,2,60200,5,0.0006,9.3920,0.5,0.1,45150.0,4,0.0000,0.0001,0.0000,8,100
2,8,0.0385,2,960800,9,,1.9089,0.5,,10000,1,0.0000,,,8,400
2,4,0.2277,2,320800,3,,20.1204,0.5,,100000,0,0.0000,,,4,400
2,4,0.1058,3,16120600,7,,28.9281,0.25,,100000,27,0.0000,,,8,200
